669355490653016064***,***@consstla buena buena
653238567221768192***,***Me atrae ene los hueones con su onda 😍
653238188820054016***,***Mmm...☁☁ http://t.co/isak2ZkVta
652895422055346176***,***Hoy me gustaria muchito salir ... Pero prefiero salir con mi papito lindo 💟
652895187925102592***,***@d_iegoc jajaja que miedooooo
652894840229888000***,***Calente leche y cuando estaba lista tome y estaba mala 😭
652887060186054656***,***@d_iegoc de que ? De ahueonao ?
652880613213630464***,***@Zapatapedro_ no es mio ya 😒
652880297512562689***,***La cloe necesita corte de unas con urgencia
652880115895009280***,***@Zapatapedro_ con que no sea el jabon ! Te amo
652878874880163840***,***Ayer cuando el Esteban me dijo que no queria salir a la noche .... Hice el medio berrinche,😆
652878429554122752***,***Ayer vi un Hueon que lo habia visto solo una vez antes en mi vida y lo obligue a que me diera un cigarro 😓
652878317746565121***,***Quiero ir a la fiesta de la luz de la udec
652878208677871621***,***me comi un catacumba y queeee🍔🍟
652878038921818113***,***Lo pase la raja ayer 😁
652659488311349249***,***Hoy a salir en parejiwis que amor
652659424180465665***,***@reyesmonss monnn regia!! Y esconde eso verde!!
652553577752301568***,***Porque no viene a la gala de la u inigo Urrutia 😢
652551876181893120***,***Mi cakiiii lo amo
652538660353654784***,***Amo que pena tu vida 😍
652127431327879168***,***Donde esta la surcursal de #movistar  en Concepcion !!
651584732866695168***,***RT @holavillablanca: tirar la cuchara al basurero y el envase del 1+1 al lavaplatos.
651584470668181504***,***RT @heydollparts: Motivos para llorar. http://t.co/3olxubOZ26
651238016078491649***,***Se creen abogados los feos qls tanta tecla
651237965117698048***,***Me da tanta paja leer como pelean en la publicacion de ceduss
650390501254909952***,***Parec que fume con el pelo
650366267841507328***,***Ando despeshhhhaaa
650366211931381760***,***@Zapatapedro_ te amo
650365810087710726***,***Ni escuchar las prendidas del Diego me motiva
650337588235120640***,***Aun cura que me pasaaaaaa
650336821344387072***,***Aun me duele esa piscol que se me callo llena en palo santo 😢
650336488719282177***,***Hueon porque soy tan cura 😞
649969566072881152***,***@consstla bueno ya 🙈
649760959163146241***,***@Seebaaax3 jajajaa
649760371755122696***,***@Seebaaax3 jjajajajajaja pensamos harto sippppo
649759889137512448***,***@Seebaaax3 foucault 😕
649759479366582272***,***😞 http://t.co/y1h6mDMSnQ
649757698276356096***,***Igual debe estar preocupado porque no le hablo 😂 #penosasoyyyy
649757612934828032***,***Me aburri de que este culiao me trate mal 😕ya no me gusta mucho el masokissmmmmo
649757501852938244***,***Me cagaron parehe como siempre
649757450166513664***,***Aun no entiendo si llegue a las 8:20 al mall y no cobran de las 8;30.... Y la media hora es gratis como me sale $200
649757051074314240***,***Jajjajaa me subi al auto y automaticamente se empano todo el auto ☺
649756943028981760***,***Que incomodo esperar para usar las maquinas 😓
649756505642811392***,***RT @vcdepolo: no me 🎣pero me da lo mismo http://t.co/GBV8MuIxyK
649721662326247425***,***Dormir o ir al gym,dormir o ir al gym, dormir o ir al gym , dormir o ir al gym ...
649387190435323909***,***Ser o no ser ahi el dilema
649387147569573888***,***Leche con platano o michelada 😕
649380660398948356***,***@d_iegoc el monito era la coma
649380474830344192***,***@d_iegoc ohhhhhh una michelada
649380431289286656***,***@d_iegoc ??????
649380112165699586***,***Pero pensar en todos esos pasos para hacer una 😔 paja
649380044838707200***,***Quiero una michelada
649379804513456128***,***3 veces que se sale de la descarga h tengo que esperar de nuevo todo!!!!!
649379737467531264***,***Descargar y actualizar iOS para mi iPad es una aventura csmmmmmm
649379303629713409***,***RT @SusanaAndreea: Me gustan estos dias en los que estoy contenta y puedo escuchar a De Saloon y Pxndx sin querer cortarme las venas 🙌🙌🙌
649379262697459713***,***RT @SoyBuenCatre: -Hola-Soy gay-¿Como estas?-Soy gay-¿Que cuentas?-Soy gay-¿Eres gay?-¿Que te importa lo que yo hago en la cama? Mal…
649378879006744576***,***Dia ql!!! Basura
649220208339521536***,***Cuando dije que bueno que ya no me duele la cabeza... Pufff me empezo a doler 😔
649219150540369920***,***Y yo que pensaba ir al gym a las 8:30...
649219057225437184***,***Mi mama me trae desayuno pero no trae azucar pu mal ahi !!!
649218763976507392***,***Mientras como pan integral imagino ese manhatan 😢
649218592668565504***,***RT @DonDateador: Vieron esta wea?Llore de Pena. http://t.co/VKKJYBIjQC
649218532744540161***,***@reyesmonss feliz cumpleanos 🎉🎉🎉🎉🎉
649217868442259456***,***Hoy me comere un manhatan filo
649217830911672320***,***De las 8:30 tratando de despertar
649217306103562240***,***Ajjaja hueon me da verguenza ajena ir a un concierto y grabar la pantalla donde sale csm 😂
649082743838638080***,***RT @SandraCgura: Ala mediante que al planeta no le de por manifestarse manana #ElSultan va a estar buenisima 😱 #LaVenganzaDeFirial
649082441550925824***,***RT @YolandaSultanaH: CAPRICORNIO: Vas a necesitar mucho carino y apoyo, pero no faltara la persona que se ofrezca a entregartelo. Organiza …
649069419369467904***,***Queria que manana (hoy ya ) fuera jueves para decir: ufffff ya acabo la semana 😔
649045890469072896***,***Dolor de cabeza todo el puto dia 😓
649045810324348928***,***Soy la mina con la peor suerte
649045110198550528***,***Tengo entre sueno - paja
649000361068507136***,***Mi cloe su primer bano y como una princesa estuvo 👸🏼👌💓 http://t.co/W8v7uQuqI6
648668869301829632***,***Mama conecta el wifi, mi internet movil es como el pico #ClaroQl
648668683708039169***,***Todo el dia aguantando fumar 😔
648667069353984000***,***Cada vez que compro una carcasa al celu me enamoro y boto todas las anteriores 😍
648666808547983364***,***Tengo para la caga la lamina de vidrio del celular 😔 pero cada vez que la cambio a la semana vuelve a estar asi
648663742125867008***,***Hoy fui muy regaloneada por mi mama
648604612421881860***,***Me compre una chaquetita tan hermosa 😍 y estaba tan cara 😓
648602679036506112***,***Clima de mierda haces que me duela la cabeza 😕
648341077171249153***,***Me carrrrrga que me ignoren 😓
648340813831929857***,***@ddanieldiaz ahueonao!!
648324627614334977***,***Refugiando en la piel lo que no logra en el corazon
648318789411557376***,***@d_iegoc tu dijiste eso po "a mi me la ponen por 3 Lucas" Diego cereceda macher
648318543046549505***,***@d_iegoc si pero a ti por 3 Lucas te la ponen
648316684273590272***,***Pq me pone mg y lo saca 😓
648269394557149186***,***RT @cokep: Ellos dieron la vida por Chile. Respetemos y cuidemos nuestro pais. http://t.co/FppcaORrll
648257388525559808***,***Tengo tanto frio 😔
648256171032358912***,***@d_iegoc vocero de gob
648256125838708737***,***@d_iegoc 😌😌😌😌
648255829926367232***,***@d_iegoc super camuflao no van a cachar quien es nunca jajajajajajjajaja
648255351041691648***,***@d_iegoc ooooohhhhhh callate 😢
648255091867316225***,***@d_iegoc jajajaja pero lqm
648255007075266560***,***Ese hueon todo lo que me diga siempre me da vueltas geminiano ql
648254463849988096***,***@d_iegoc hablaba en general, tu no puedes estar enojado por mas de 20 min
648254080842866689***,***@d_iegoc re dura Harto ese enojo menos mal
648253728999534592***,***Todos digan buuuuuuuu y tiren tomates
648253670778404864***,***Como el peco el Esteban y quiero que lo sepan todos !!! 😕
648253386194862080***,***@consstla ven 😳
648253255835910144***,***Jajaja leo una pagina de civil, 20 minutos en el celu ,mama quitame esta hueaaaaaaaaa
648252623850762240***,***RT @weonafilo: si tanto me odiai, por que andai pendiente de todo lo que hago? http://t.co/ACenAIggFE
648252320451592193***,***Cuando escriben "bkn" = viejo ql!!! Jajajaja
648206072994504705***,***RT @rociobucarey: "He aprendido que la gente se va. Incluso si han prometido mil veces que no lo haran.."🌞🌾💗
648198108162228225***,***Son las 3 con pijama y sin estudiar civil #flojaql
647929585611468800***,***Jajaja no me puedo ni mover gracias profe Luis del sportlife
647929499179438080***,***Dia de mama con mi pazi
647811792182341632***,***Tenia un sueno como de 3 dias
647515013264052228***,***@d_iegoc uhhhhh
647252365486198784***,***Angustia por un cigarro a tal extremo de buscar debajo de los asientos del auto y pille uno 🎊👌
647106377350029312***,***@reyesmonss 😍
647105970989101056***,***@reyesmonss todos me miran con cara de asco 😅😔
647105595024220160***,***No se si ustedes pero yo me enamore 😍 http://t.co/HZ4zxr296Z
647105495493398528***,***@reyesmonss hueona me paso lo mismo 😓😱😱
646917293390327808***,***@JavierAsicalao 2:23... Siempre hay que tener adelantado el reloj para ser mas puntual
646917013672214528***,***2:22
646916551178911744***,***RT @reyesmonss: Como bajar 20 kg en una semana
646855156613709824***,***Junta de estudio = comer y copuchar sin parar
646495723622674435***,***Ruedoooo
646472070747045888***,***Termine en el johny rockets
646445036968787968***,***Me saque un 49 en D• economico y tanto que la sufri pensando que era un rojo fijo
646444812116357121***,***@d_iegoc seguro no !
646444775101628416***,***@consstla minaza 🙈
646444488169234432***,***RT @Mr_Sandman_23: Un abrazo a todos los que empezaban hoy la dieta y ya no cumplieron
646444439494389760***,***Somos super zorronas con mi mama vamos en autos distintos al mall jajajjaja
646345854627004416***,***Tengo dinero 🎊
646161023817400320***,***Me siento hiper feliz y con mucha energia 💪🏻
646160551345815552***,***@consstla ay
645932386774089728***,***Puse 7 alarmas desde las 8:00 y aun no me levanto
645931432926425088***,***RT @grindtopher: Cada dia me cuesta mas levantarme temprano 😭🔫
645931324990210048***,***Su ☕ y 📖📑📚✏⌛⏰💪🏻
645931122610864128***,***A estudiar por la chucha 😭
645766135732936704***,***@d_iegoc 😭
645765884393472001***,***Conocen a alguien mas conchesumadre? @d_iegoc http://t.co/bYeP1eOesJ
645765590662139904***,***Soda Stereo y yo sin un cigarro en la manito que sucede
645765467962011648***,***@cgarcesfritz como es? Que paja descargar 😭
645765102810042368***,***Per tengo tengo tanta paja y tanto que estudiar
645765029623693312***,***En mi mente quiero agarrar mi auto, abrir el porton e ir al punto copec y decir:"quiero un lucky freshhhh Porfa"
645764188200140800***,***Jajaja nunca debi ir a ese cumpleanos 😭 miercoles ql
645763766764879872***,***@cgarcesfritz short con calzas y chalas zico 😂
645763548526825472***,***RT @LuisFeCHS: Manana tomare agua todo el dia, ojala bajar los 30 kilos que subi.
645759178850611200***,***@d_iegoc te amo peorro
645751394817961984***,***RT @felipeemg: El 18 fue tan corto que no alcance ni a estudiar 😂
645750938288918528***,***Si tuviera a un amigo que me quisiera venir a dejar un cigarreeli a la casita 😭
645750807191769088***,***Mi papa me deposito el 10 y ahora tengo $2.000 en la cuenta que te parehee
645750616313176064***,***RT @BelenSoto1: Quede en la quiebra despues de este 18. 💸
645750148874772480***,***RT @VitoCastro6: Se nos viene el verano y yo:  #FrasesPostFiestasPatrias http://t.co/pAeMYM8MWd
645750052267380736***,***Yo era feliz cuando tenia 17
645750005802926080***,***No quiero cumplir 20 😭
645749443342520321***,***RT @YeyitaGB: SU PRENSADA Y AL TAGADA
645749281585000448***,***A las 7 tome mis apuntes , ahora son las 9,estoy casi segura que un pestanazo y seran las 3 am
645746954228645888***,***@reyesmonss que linda y rubia montseeee
645746730236047360***,***Eso le hare a mi papa por no dejarme salir  https://t.co/JIYKGzg9C2
645746488346308608***,***Ni a la de coronel 😭
645746458713587712***,***Y me falto algo NO FUI A NINGUNA RAMADA 😭
645746308054126592***,***Queria ver a mi Esteban hoy 😭
645746262923452416***,***Nunca estudio bien para los primeros certamen 😭
645746196938641408***,***Aun hago resumenes infinitos para procesal ...
645746131331338240***,***Hoy mi papa no me dejo salir, me senti una quinceanera con puchero
645746040885374976***,***Ayer la cloe casi se me muere 😓
645448191169667072***,***No se que le pasa 😭 ayuda http://t.co/Yizwd5xgDm
645402516151267328***,***@d_iegoc 👀☝
645402474770206720***,***RT @danialmond: Los milicos siguen ordenes, al igual que usted de su jefe. Dejen de meter a todos en el mismo saco y como si fuera poco tie…
645402319346081792***,***@d_iegoc que pate?
645402183052185600***,***Soy torero ctm, junten agua viejas qls!!!☺☺😂😂😂😂
645401745934389248***,***Me carga los hueones despechados que empiezan agregar a las minas que a su mina le caian mal 😒 mal jugao ahi
645401377578074112***,***Decido no salir hoy ---&gt; me enfermo 😂👌👏
645401113643118592***,***@d_iegoc yo tambien borracho ql😕😢😔
645401014338723842***,***RT @VitoCastro6: —¿Y que tal las fiestas patrias?— http://t.co/gyEh7zqrLx
645361148074827776***,***Ayer llame a mi amica y aun esta enojada 🌚🌚
645360533370179584***,***3 noches en coronel seguidas 😓 mucho .... Asi que hoy encerrada a estudiar 👏
645360227748069376***,***Desperte con una sed!!!! Pero no caere en la tentacion
645306178604539904***,***Dormire y despues full estudio 💪🏻
645306120152719360***,***Ya me chante !!!!!
644985950607704065***,***RT @FernandoDeValpo: Se me esta saliendo el ombliguito 👉•👈 de tanta comida 🍢🍖🍗🍹😌
644955942329655296***,***Hace 3 noches que no duermo en mi camita 😭
644954969569931264***,***Jajajaja pobre Esteban ayer intimidado con mi tio y hermanos que estaban bien vueltos mierda
644954288201072642***,***👇 Ley 👇 https://t.co/Gq7Q8Exqot
644953840408784896***,***RT @TextosDeLibros: El frio... http://t.co/L6LJZLZvpQ
644953483427336192***,***Tengo 3 opciones: 1) ir a espacio marina🎉.2) volver a ir a coronel jajajajaja 🚀3) Estudiar ❌🚫🚷📵🚱🚳
644952791216201728***,***Yo se que las ramadas de coronel son flaites y rascas 😕 pero me encanta ir 😭😭😭😭😭😭😭😭 y ahora me queda re lejos
644951936622530560***,***@Zapatapedro_ yo certamen el lunes procesal y miercoles consti 😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓
644951513484406784***,***RT @jjjosygajardo: Mi papa deberia aplicarse con un ceviche 😍
644934633856086016***,***3 dias webeando y aun no estudio nada de procesal 😓😓
644930845233573888***,***RT @leomeyer: Tras el #terremoto es aconsejable tener tu #mochiladeemergencia acorde al #18septiembre #FiestasPatrias #Chile http://t.co/NR…
644930698818813953***,***Hoy pense en no usar mis bucaneras ... Pero no 😍
644930398749884416***,***Todos con cana en casa jajajaja
644566184441040896***,***Pobre Melanie 😭😭😭😭 soy tan bolla
644566038802251776***,***Melanie perdoname 😭
644566006409621504***,***Despues de lo de ayer no se si apanare hoy 😭
644565954026938368***,***En el puente Juan Pablo II hay dos choques  .... Lindo taco
644565547653439488***,***Me fui alisar el pelo ... 3 horas en la peluqueria y con cana cacha 💪🏻
644565414647832576***,***Por que tan bolla
644565385325486080***,***Nunca tomen piscolas y tequila 😭😭😭
644565347920707584***,***Videos de snap 😭
644565313745494016***,***Que verguenza ayer 😭
644220960174903296***,***@d_iegoc 🚀🚀🚀🚀
644220518523080704***,***@d_iegoc 131369
644220447249309696***,***Gustavo Cerati a la vena 🚀
644212736155643905***,***Cuando sera el dia que me levante, me estire y no me suene la maldita espalda 😭
644211609917857792***,***Cuando me pregunten "y tu como te llamas?" Y responda Maria Catril les aseguro que es por que ya madure 😂
644210991451009024***,***💪🏻 http://t.co/8u57VPJD5m
644204259588898816***,***Les cuento algo ... Me encanta comer arroz con limon y sal 🙈
644203771875168256***,***Mi hermano tiene casi 30 y mi mamA aun lo castiga cortando el internet 😭
644193446882844673***,***Ayer hice la estupidez mas grande 😭
643599636234682368***,***@d_iegoc 😎😎 🔥🔥
643599537832095744***,***RT @danialmond: Hay personas que quiza nunca debi haber danado y otras que no lo hice lo suficiente
643599411692601344***,***RT @jjjosygajardo: http://t.co/16m11wi4M8
643599365815336960***,***Tu eres aburrido como un lunes y yo la motivo como un sabado 🙊
643599102748573699***,***RT @cgarcesfritz: me carga la gente que todo lo que dice le agrega "pico", que culpa tiene el pico
643499116648091648***,***Y resiste mas que yooo, no puedo perdonar, si el tiempo se olvido de nosotros dosss
643498830776926210***,***Si jure no verte mas, nunca mas como no llorar 🎶🚀
643484355659218944***,***Me encanta me vuelves a herir-de saloon, aunque siempre me voy a la mierda 🚀
643483393687179266***,***Ayer pasar por mossimo fue una aventura 😢
643483225017421824***,***RT @esbienraro: 10 imagenes nominadas a la mejor foto del ano ¿cual es tu preferida? http://t.co/U2n1enabuI http://t.co/EPTk6tjihQ
643443584243511296***,***RT @BototaFox: EL PERRO FASHION CTM iLove Ripley RT ! http://t.co/DcBrdfzjLC
643443058411982848***,***Como extranar algo que nunca sucedio 😢
643256089807601664***,***@d_iegoc nunca 😖😞
643255797703671808***,***RT @Zhongguo2025: No se quienes son mas HDP los que los cuidan o la familia que los dejan ahi... #AbuelosEnPeligro #EnSuPropiaTrampa http:/…
643255708767621120***,***Manana tempranito a dejar mi papu🚙😢
643255524100866048***,***#AbuelosEnPeligro  vieja ql!!!!
643198869686366208***,***Tanto sueno en mi
643123034115702784***,***@d_iegoc gracias
643114843852173313***,***Quiero tomar mi primer mote con huesillo del ano 😭
642972403333730304***,***Me encanta las peliculas de amor 😍
642862770405380096***,***Tercera noche con una piscola en las manos 😭😳
641829140300218368***,***Este hueon siempre lo mismo viene a puro confundir mi corazon enamoradizo 😭
641829035698483204***,***RT @iSin0: Me urge tenerte en mis brazos
641466319322415104***,***@JordaanR 😭😭😭 ♻♻♻
641465678747299841***,***Iba tan bien mi dia, me habian comprado ropa, sandalias ,me encontre  una Luca.......... Y me pasan esas hueas
641463894985338881***,***@ddanieldiaz no hablo asi
641463295183060992***,***@ddanieldiaz ... No habia para que irse en esa 😓🚗💥🚙😢
641462588379938816***,***RT @VersosDeOro: http://t.co/IXY6PHCQQM
641462469681090560***,***RT @VersosDeOro: http://t.co/I7pvHlImMg
641462016935350272***,***RT @EsTextos: Los amores inolvidables son esos que llegan sin pedir permiso y te desordenan la piel y la vida.
641460979574943744***,***@ddanieldiaz y poto
641459754200629248***,***Mentira 🙈 mi mama me ira a dejar 💁❤
641459672520724481***,***Manana a la u en 🚌 puajjjjjjjjjjj
641459587720347648***,***Sin 🚙, fin del comunicado...
641459492295720960***,***Que azoteeeeee mi dia ql pesimo !!!
641280248458444800***,***Ya decidido me inscribire al gym 😓
640687369608368128***,***Tengo tutito quiero a mi mashhio
640686037686206464***,***Jajajjaa bacan que tu ex se saque las mismas fotos con su actual en los mismos lados
640566810312638464***,***Hace mucho que no bajaba a buscar mi ropa a la secadora 👀jajajajaja y era muchisima 😂
640369892106092545***,***Yo queria estudiar y puffff estoy tomando nuevamente ...
640199689959276545***,***Quiero gafas 😭
640194795609161728***,***RT @MrJaviTrumpet: Si ella pone ":)" es porque esta celosa, te va a matar y debes huir del pais, cambiar de identidad y hacer una nueva vid…
640194725308420097***,***Que rico el dia y yo ahi encerrada estudiando todo el dia 😭
640194103586738177***,***Noche jarrrrcorre
638882818567880704***,***RT @hernanndezg: llegue al momento de mi vida donde no quiero estudiar mas y me quiero poner con un carrito de sopaipillas
638707058825666560***,***Me encanta septiembre 😍💖
638561671691272192***,***Tengo tanta sed
638559517031141376***,***Yo no te entiendo hueon oh !!!
638159900552466432***,***@d_iegoc anota el mio y el tuyo😍
638134650007851008***,***Que para dejar hojas en blanco para despues pasar materia y.... No te alcance la huea 😭
638133995071512576***,***Buta que complicado quiero anotar mi rut en la lista para palo santo 😭pero no quiero que me webeen
638019491864178689***,***@d_iegoc 👀
637690877859766273***,***@d_iegoc jjajajajjaja jugoso ql !!
637689320816680960***,***@d_iegoc so descarado hueon !!!!😂😆😂😆😂😆
637689182945738752***,***Ayer arregle el tomanji a mi favor 😭 lo tenia que decir
637689068260880384***,***Siempre cuando tomo con mis hermanos queda la caga jajjajajajajajaa 🎉🎉🎉
637687999933890560***,***Hoy no saldre por opcion propia, primer sabado de hace mucho 😆
637687875195260929***,***El mejor bajon 💖😆
637277604475748356***,***Hoy ire a malditasea sera muy gay ? 😓
637277323352481793***,***Enojada a tal punto con mi mama que me hice sola el desayuno 😡😡😡😡
637277200308420608***,***Repito odio los "tenemos que hablar " 😖😥
637277086881816576***,***RT @TextosDeLibros: A mis dias le faltan tus sonrisas y a mis noches tus caricias. http://t.co/odtnn6w9R2
637277006586114048***,***@leop_parra no !!! Rata 🐀
637275666988273665***,***@leop_parra tu 👉🐀🐀🐀
637275168063229952***,***@leop_parra jajajaja 🐖🐷
637274525319700480***,***Debo confesar que me encantan los selladitos 🙈
637264747495358465***,***@d_iegoc en tu pueblo dudo
637264670261424128***,***Sone que era una nina china que estaba arrancando de unos mafiosos jajajja por todo China
636718594760568833***,***Cuando paro de comer
636706174776307712***,***@d_iegoc hueon la tienda bebita quedo abierta 1 mes y la otra cerrada un mes ... Pones ene atencion !
636706018270007296***,***RT @YeyitaGB: AORA ANDO TOA TOPISIMA CAUSANDO ENBIDIA CONPRANDO ROPITA PA MATAR LA LIGA EN EL NUEVO JHONSON DE CORONEL
636339518250045441***,***Le deje la ventana abierta de mi pieza jajaja con la cloe .... Se suponia que mi mama la cerraria
636339236992643072***,***@d_iegoc eran mas prenshhhhh
636338959975583745***,***Ctm pasar por el puente con esta tormenta 😓😓😓😓 fue una aventura
636187844135010304***,***Desperte con las tapas a la mierda 😭
636185777458802688***,***Lo primero que hago cuando despierto es ver si la cloe esta viva jajajja y no aplastada 😓
636021754750730240***,***RT @rpazgc: Conchesumadre http://t.co/0hUtZyWP7M
635997745157963776***,***23 min de lota a coronel 🙈 por el centro y con echada de petroleo 😏
635783518329700352***,***No quiero ir a la u 😭
635633049535950848***,***Pero no sube nada 😂
635633015327227904***,***Pero si me sale siempre los litros que echo 😐
635632775035547648***,***Siempre me cagan en esas hueas de bencineras
635616973603360768***,***Hay que elegir el pecado con el que puedas vivir
635604185917071361***,***@d_iegoc jajaja lo dijeron en la peli jijij
635603263384064000***,***"Las personas matan por amor que por odio"
635592405119578112***,***Besitos en la espalda 💖
635592309053235200***,***@d_iegoc esa es tu mami 😘
635591606306009088***,***Ayer habia una estufa ql!! Que me afirme con mi poto y la blusa se me hizo mierda 😭😭😭 achurrrassscaaaa
635591465859686400***,***Jajaja ahi hablando con todas las pololas de los amicosss
635591338440957952***,***Ayer todos estabamos en pareja jajaja que tiernos 😍💖
635591156131340288***,***Ayer fume mucho me arrepiento 😭
635590985699971072***,***@d_iegoc nadie los vio solo los pasaban jajajajaja
635590130376552448***,***Tengo tos de perro 😭
635273089648037892***,***Buta no voy a comer con mis papas y esta Benjamin vicuna 😭
635172360967077890***,***Al final ni veo a mi papa 😔
635172317161783296***,***Todos los sabados un cumpleanos ajjajajajaja
635157264903577601***,***Porque tengo las piernas tan gordas 😓 no me subia la bucanera que tanto queria 😍
635128932627521536***,***Quiero micheladas, sushi, ceviche .... Fin del comunicado
634913304687849472***,***@d_iegoc 🆗🆗🆗
634912506096525312***,***@d_iegoc jajajaja salgo linda
634817288076689408***,***RT @coniandre: Cuarto de libra con queso vengan a mi 😍
634817005166665728***,***Peliculas 💖💖 lqmmmm
634816952653979648***,***Mi bb me trae comida 😍💖
634751667032997888***,***RT @SenoraCatolica: Sufrir es PECADO, pues la gente buena que sufre se vuelve mala.
634751593443934208***,***Mi mama me odia porque dejaron la caga en la casa 😭
634744828035756034***,***Despues no digan que fue por mi culpa que no funciono !!!!!
634744771148410880***,***Jajajajaja son tan ahueonaos los hombres !!!
634737571399081984***,***Esas previas siempre se alargan y nunca vamos a las discos jajaja
634736926436818944***,***Tan cura que ni vi al negro pinera 😂
634736810787250177***,***RT @SenoraCatolica: Llegar tarde al trabajo por haber tenido COITO "mananero", PECADO.
634736484529106944***,***Pq cuanto me curo veo como mil conocidos jajajajaja y como que estoy en todos lados
634735942910259200***,***Azzzi http://t.co/8dGlBB2HfQ
634732470550835201***,***No quiero tomar mas 😭
634716436754264064***,***10:20 am aun me da todo vuelta 😂
634716154733457408***,***Me duele la garganta tanto fumar anoche 😣
