671184150599237633***,***Hugo se hace mayor dia a dia 😱 #parenting https://t.co/ueSKtI2aUP
668848399307771904***,***@ilian354 Me lo apunto!!!!!
668846213110833152***,***DIRECTO DE #FIFA16 EN 15 MINUTOS ANTES DE IRNOS DE EXCURSION!!!! OS DEJO EL ANTERIOR, QUE FUE EPICO! https://t.co/1STy8H55DY
668843561182494721***,***CAMBIO DE PLANES! VAMOS MANANA A #LOSANGELES Y HOY VAMOS A UN EVENTO DE #GRAFFITTI CON @HERMANOENANO https://t.co/jI4uFZL7Ka
668835768480190469***,***HOY VAMOS DE EXCURSION A #LITTLETOKYO EN #LOSANGELES ASI QUE NO HABRA DIRECTOS :) OS DEJO ESTE VLOG! https://t.co/bf5iR6PHyv
668568649284751360***,***Pedazo de miniatura que le acabo de hacer a #HermanoEnano para su proximo directo #GTAV https://t.co/8RcmYhr60y
668542098052931584***,***ANDREA LA PATINES LE HACE UN HOMENAJE A #PARIS EN #MINECRAFT!!!!https://t.co/dM21UYvuSW
668536045277843456***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/egXHKfoskb HOMENAJE A PARIS ┋INGLES CON MINECRAFT
668535992731717633***,***OLGA NOS MUESTRA SU #RECETA MILAGROSA... WTF! https://t.co/v4fsYsu7e3
668498910265122818***,***MOG! #BO3 MODOPRO CON SUSCRIPTORES!!! @CRESS_HD https://t.co/DyrsuWdvDA
668488315390136320***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft: PlayStation®4 Edition)  live at https://t.co/aoSDDvspho
668474198734454785***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/0tvbA7kdAb
668263428490817536***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/Iv5kj685T7
668135823422988289***,***#ELCLASICO EN DIRECTO #REALMADRID CONTRA #BARCELONA EN #FIFA16 https://t.co/1STy8H55DY
668128909112639488***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/PlIOZEnaGN
668125546585448448***,***EN EL DESCANSO DE #REALMADRID CONTRA #BARCELONA HACEMOS DIRECTO #FIFA16
668124990873563136***,***@Cress_HD Gracias amigo! Nos gusta asi de momento. La hemos hecho entre Hermano Enano y yo. Ya esta subida al canal :) Un abrazo!
668121989509455872***,***YA SOMOS 9.300 SUSCRIPTORES! LO CELEBRAMOS CON NUEO BANNER! OS GUSTA? https://t.co/y5WktrEodU
667942381690314752***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/O74MIdVlBi NUEVO TIPO DE VIDEO ┋LEER JUNTOS COMICS EN LA TABLETA
667827598953549825***,***Acabo de estrenar una nueva seccion en el canal. ¿Que os parece? https://t.co/kQaaoeEWUg
667818256149839872***,***@AleOtaku9 La veras pronto :) Aun no se ha estrenado en tu pais?
667796129669484544***,***@YellowMellowMG a mi me lo curo una fisio buenisima pero... #SpoilerAlert ...con guante de latex y prospeccion al interior de tus entranas 😱
667795423986348033***,***Hermano Enano preparado para ir al cine 😊 #mockingjaypart2 https://t.co/txt4w6qfJU
667765573753810944***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/ocEY1YH7z6 NUEVO MANGA Y MAS LIBROS ┋VLOG #100
667747132229619712***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/ztQ0McxFyq
667720166025895936***,***No te pierdas el Vlog numero 100 de GranAntuan y HermanoEnano! #manga #libros https://t.co/SrGgEhaAwc
667561563570728964***,***Gol inesperado en el  minuto 90! #Venezuela contra #Peru en #FIFA16 #HermanoEnano https://t.co/fdKQXLipgq
667555454088642561***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/VZ2C7Tq5lH LAS TAZAS PERFECTAS ┋VLOG
667546699129163776***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/KDQLVjGg2e
667538016244756480***,***Acabo de subir el Vlog numero 100 al canal! #HermanoEnano recibe nuevo #manga! https://t.co/SrGgEhaAwc
667454027219759104***,***OMG! OTRO VIDEO DE @OLGAYANTUAN SOBRE UNA NUEVA ENFERMEDAD QUE SE EXTIENDE POR EL MUNDO: LA #ORTOREXIA https://t.co/RQUcx83Pgf
667444104280846336***,***@ilian354 Si!!!!!
667443871505326080***,***Nuevo Vlog!!!! https://t.co/AfFydVQw6R
667391124433186816***,***Parecia imposible pero ahora es una realidad. GranAntuan ha ganado a Hermano Enano en #FIFA16 https://t.co/DfiPTfUr5H
667220211007930369***,***Uno de los mejores juegos del mundo #Fallout4 https://t.co/kKTOTrqYYA
667208957291798529***,***#blackops3 con suscriptores! https://t.co/3eigV9MXbu
667171546423672833***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Fallout 4)  live at https://t.co/N7bg3B8bI2
667163779726053376***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/D8FaXY5fxD
667145975224401920***,***RT @lauxx44: Me ha gustado un video de @YouTube de @olgayantuan (https://t.co/46aQWYdboD - OLGA CON DONALD TRUMP).
667045887449821184***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/1UKJpj9C4V
667028592946114560***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/Lv80iVnUcx HERMANO ENANO Y EL GRAFFITI ┋VLOG 98
666811741762813952***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/jndCzyrERE
666790956281151488***,***@Cress_HD Nos encanta!!!!
666789951976120320***,***Aqui esta el nuevo #Vlog de Hermano Enano :) https://t.co/djpbvBewyQ
666762528089899012***,***ESTOY SUBIENDO UN NUEVO VLOG DE HERMANO ENANO Y SUS GRAFFITIES QUE ESPERO QUE OS GUSTE TANTO COMO A NOSOTROS :)
666762211822432256***,***Pedazo de banner que me ha hecho @Gerardo27ism1 https://t.co/6KMYJp4kFR
666761733806010369***,***@ilian354 Jajajajaja!
666761688696254466***,***RT @sebi_artiles: Me gusto un video de @YouTube de @granantuan https://t.co/BPNGt2RpV9 THE WALKING DEAD
666712666451214336***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/0wPeuhFxdp
666712122332569600***,***@ilian354 Voy... Ya...
666690232356642816***,***NUEVO VLOG DE @olgayantuan  :) Decidme que os parece este tema!https://t.co/vUPHY8bmkf
666684596939915264***,***@ilian354 Lo tengo en Madrid!!!! :)
666684025839325184***,***RT @ilian354: @GranAntuan @olgayantuan  antuan tu puedes acabarlo toma mi fuerza
666684009724809216***,***RT @AleOtaku9: @GranAntuan Has un directo de Ian Carter! *w* cuando puedas! (estuve desaparecida jejjeje) ,
666683791109455873***,***DIVERTIDISIMO #STARWARSBATTLEFRONT!!!! :) https://t.co/KxEYClPNgi
666666116257701889***,***#TengoTantasGanasDe hacer un nuevo directo!!!! Pero estoy terminando de editar un nuevo video para @olgayantuan
666517665251332097***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (STAR WARS™ Battlefront™)  live at https://t.co/8gJ2h1NUSP
666465726685810688***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/i9dbaM6QYq
666323800351375360***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/SVPj77TLu5
666269727505842176***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (https://t.co/Fcah1Q4IMp - PIERCINGS Y ASSASSINS CREED COMICS ┋VLOG 96).
666116996208177152***,***EL DIA DE HOY SE MERECIA UN VLOG... GRACIAS A TODOS! https://t.co/hBs62StPDA
666072137778663424***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/q2MSn2wnni
666050721616429056***,***Yendo a @comicsnstuffsd a comprar #attackontitan y #assassinscreed #comics https://t.co/Oo0iXMufhk
665951856057671680***,***@bellotero69 @YouTube Un abrazo Alberto!!!! :) AL final que tal con la camara que te querias pillar?
665951706702725120***,***RT @bellotero69: Me ha gustado un video de @YouTube de @granantuan (https://t.co/lO7d7JKFrM - MINECRAFT).
665939715590193152***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft: PlayStation®4 Edition)  live at https://t.co/r9h0IMSnE2
665912988054999040***,***Oh my God! Los zombies del puente vienen a por ti!!!!! #TheWalkingDead https://t.co/fzfdGQN91g
665773703976751104***,***RT @jean_paul_amaut: Me ha gustado un video de @YouTube de @granantuan (https://t.co/FTKSY520iv - THE WALKING DEAD).
665773678999678981***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/Fvgn1EFf7i ARGENTINA VS. BRASIL ┋URUGUAY VS. ARGENTINA ┋DOS PARTIDOS
665707678304354304***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/vmhN98ucfx
665675568357117952***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/SgKOici683
665451383026511872***,***Los milagros ocurren! https://t.co/fgM79wuM75
665410483286122496***,***@KaiCanario94 Full time coverage... Es un bajonazo ver lo que esta pasando...
665186909333954564***,***HERMANO ENANO CON #GEOMETRYDASH! :) https://t.co/qtvyM71Jdj
665057720920358913***,***Call of Duty: Black Ops 3 Runs Better on PS4 Than Xbox One - Report https://t.co/AiR30rU7oz
665042820059787264***,***LA PRIMERA VICTORIA DE GRANANTUAN EN #FIFA16 COMENTARIOS EPICOS!https://t.co/fgM79wuM75
664995265812656129***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/1cQZ2JDvhP
664988500899459073***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Grand Theft Auto V)  live at https://t.co/UtYruwibOp
664974699085103104***,***Hermano Enano agotado de pintar #graffitti https://t.co/PujiWXLRW5
664932084427853826***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/WIaNDkJPGr CALL OF DUTY CHALLENGE BLACK OPS 3
664895061700669441***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/TDcXHLf9eg
664720675609772032***,***My #scuff from @ScufGaming came broken :( I was so excited but L2 does not work and the magnet is missing...
664684590619996160***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/RyirwwC8en
664635813351702528***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/l8BU6hWRsR
664615056022245377***,***Me acaban de traer mi #Scuf de @ScufGaming para #BlackOps3 Hago #Unboxing manana? https://t.co/BpZov3ic0N
664547598271840256***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (https://t.co/ihfLzHHmuF - FALLOUT 4).
664531078942584832***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/2ieYiVWgpv
664515678993408000***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Fallout 4)  live at https://t.co/tSlRZ0otac
664476343963402244***,***HERMANO ENANO EN #HALLOWEEN! ES UN SOLDADO DE #BLACKOPS3! https://t.co/frA4dOduig
664285608286679040***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/ZfTjidNC9t
664284178138177536***,***PEDAZO DE NUEVO #VLOG CON HERMANO ENANO Y GRANANTUAN EN EL #HALLOWEEN DE ESTADOS UNIDOS! https://t.co/frA4dOduig
664280091095121920***,***@Cress_HD Si!!!!! Maquina!!!! :) Gracias!!!!
664243440629080064***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/j1TQOWsunF FALLOUT 4
664243384404410369***,***@KaiCanario94 grande!!
664243352481628160***,***RT @KaiCanario94: @GranAntuan jejejeje https://t.co/0eGRyBWohA
664206034685304832***,***EPICA SALIDA AL EXTERIOR DE GRANANTUAN EN #FALLOUT4! JUEGACARRACO! https://t.co/1tyf0kNHsg
664176057239531520***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Fallout 4)  live at https://t.co/a0XTn1d54w
664175850208763904***,***EN 5 MINUTOS DIRECTO DE #FALLOUT4 EN YOUTUBE! ;)
664138387574628352***,***NUEVO VLOG DE #OLGAYANTUAN SOBRE LA REVOLUCION PENDIENTE #EDUCACION https://t.co/DnfcauXaLg
663968299332427776***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Fallout 4)  live at https://t.co/1O2dn53v8k
663934143391109121***,***RT @sebi_artiles: Me gusto un video de @YouTube de @granantuan https://t.co/Z5vm83mz2G GRANANTUAN SE COMPRA COCHE EN ESTADOS UNIDOS :)
663927071853445120***,***GranAntuan se va con HermanoEnano al cine a ver la ultima de James Bond: Spectre ;)https://t.co/GXu62bYRtB
663859638056669185***,***¿Que son mas peligrosos, los zombies o los humanos? #TWD https://t.co/O2KW3DAsRg
663842375198859264***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/SgLMO4rVYY
663793975900381184***,***Mery se va al #homecoming ❤ https://t.co/uSt08OnFkJ
663752089806372864***,***@11Odea si 😊
663752029890744320***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (https://t.co/Ymyp1TTNwD - UNBOXING SORPRESA ┋NESPRESSO DELONGHI LATTISSIMA …
663569985042690048***,***@11Odea yes
663471319317540864***,***#Unboxing @NespressoES @NespressoMX :) #DeLonghi https://t.co/eWdLC379xT
663470206090637313***,***NO OS PERDAIS ESTE #UNBOXING SORPRESA DE #GRANANTUAN :) CONOCE A ESTA FAMILIA VLOGGER, GAME, RANDOM Y SANDBOX :) https://t.co/BCymOPRbYP
663450912397000704***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/RxSfZurOei
663399217570779136***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft: PlayStation®4 Edition)  live at https://t.co/Je0EgwokwK
663382171109863426***,***CAZA DE TEMPLARIOS ┋ASSASSINS CREED SYNDICATE #12 https://t.co/K4vXtWke2W
663278992263266304***,***RT @jean_paul_amaut: Me gusto un video de @YouTube de @granantuan https://t.co/zDtAYBh25G ASSASSINS CREED SYNDICATE
663249330094997504***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/K4vXtWke2W
663159182368075776***,***#Spanish #Art #Village #SanDiego #BalboaPark 😊 https://t.co/VVboFhiFDa
663101489464807424***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/2LxZqSzaA1
662806668166742016***,***UNA PASADA ESTRENAR EL MODO #ZOMBIE DE #BALCKOPS3  CON @OMGitsAmeny y @Cress_HD!!!! https://t.co/g3PjDaV3Gp
662783198074552320***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/2zms3102gT
662727422408716294***,***#BlackOps3 con Hermano Enano Multijugador antes de ir al colegio, jajajaja!!! https://t.co/vHDxq15wQT
662716167706906626***,***LOS NINOS EN YOUTUBE! NO OS PERDAIS ESTE VLOG DE OLGAYANTUAN! https://t.co/VRpiplxwFQ
662674399745720320***,***GRANANTUAN ESTRENA #CODBO3 CON HERMANO ENANO! EPICO! https://t.co/B2xRdagcLe
662651179495612416***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/vdZjDDVfFR
662496372894007297***,***¡Mira la transmision de mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/fLITRfzStL
662495777650946048***,***¡Mira la transmision de mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/YCaBdJH6x6
662495108651085824***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Call of Duty®: Black Ops III)  live at https://t.co/AOig7cDTmo
662493960363859968***,***Directo de #BO3 en nada!!!! https://t.co/fRMRgGEeJy
662454877071794177***,***EN DOS HORAS Y MEDIA ESTRENO #CODBO3 MIENTRAS TANTO OS DEJO ESTA MARAVILLA! https://t.co/1lU44Y46U5
662340425546489856***,***@CrisLobos29 Despues de Navidad hare directos con subs :)
662340351659671552***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (https://t.co/skM3hOuiWh - THE WALKING DEAD).
662340333334753281***,***RT @AleOtaku9: @GranAntuan #SeMeAlegraElDiaCuando leo estas noticias! ^^
662340148391116800***,***Nueva app de correo  muy chula! N1, the new extensible mail client from @nylas_crew (Plus it's open source!) https://t.co/cob0hZAwXK
662322167334342656***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/lAUw4HTZH6
662321517036892161***,***RT @GuilleSosa12: @GranAntuan Un saludo Antonio! Estare pendiente como siempre del directo.
662320653811388416***,***#SeMeAlegraElDiaCuando conecto la #PS4 para hacer un DIRECTO en #YouTube En 5 minutos estoy en vivo!
662287804718694401***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (https://t.co/ccNSo3ocel - HERMANO ENANO VUELVE A CLASES DE TENIS!).
662087658747793408***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Walking Dead: Season 2)  live at https://t.co/9R8Yo6icM0
662085155415191553***,***#EnLaEscuelaNuncaFalta alguien que este atendiendo al profesor mientras escucha un directo de @GranAntuan ;) https://t.co/AC6JasydaV
662081825242763264***,***NUEVO VLOG DE HERMANO ENANO EN ACCION!  https://t.co/0wEaf8gNoi
662080245605007360***,***Hermano Enano volviendo de #Tennis https://t.co/RaMVFav8dq
662043619956670464***,***@Cress_HD ni idea!
662038773157470208***,***LA CASA ENCANTADA DE #ACSYNDICATE MISTERIO Y FANTASMAS EN ASSASSINS CREED! https://t.co/eRnODqaOZG
661998987113689088***,***@Cress_HD Molaaaaa!!!!!
661995590834868224***,***LOS PELIGROS DE TENER HIJOS!!!! https://t.co/qX7qYK1HCm
661959577408180224***,***RT @DESNEFGM: Me gusto un video de @YouTube de @granantuan https://t.co/kxBP60rAtX REAL MADRID VS ATLETICO DE MADRID ┋FIFA 16 ┋EL DERBY MAS
661751107849355264***,***RT @julianosorio191: Me gusto un video de @YouTube de @granantuan https://t.co/1Dzclm3JYM FIFA 16
661750742735163392***,***@ejtgpty Gracias!
661750714226466816***,***RT @ejtgpty: @GranAntuan siempre con tigo
661743389700808704***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/l6et0AcJKs
661733158967050241***,***En 30 minutos hago nuevo DIRECTO. en YouTube 👾
661690859633577985***,***NUEVO #UNBOXING DE HERMANO ENANO!!!! #WIMPYKID https://t.co/u6EwN12aJv
661678593886433280***,***RT @YouTube_TSQT: https://t.co/E7MXdqcjlR, Sign in the channel and let that favorite like to support https://t.co/zeTyyXjsbE
661676978601201664***,***Check Out PS4 Exclusive Ratchet &amp; Clank in 40 Super-Colorful Minutes of Gameplay https://t.co/0KlptCd6iB
661605507434582016***,***@FranTopsHd GRACIAS AMIGO!!!!
661605462064803841***,***@Cress_HD Mola!!!!!
661583173600477185***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/AvY8RrnXfA
661581515789217792***,***#ParaCumplirElProtocolo hoy tambien voy a hacer dos directos. En 5 min. Teneis uno de #ACSyndicate ;)
661549421142941697***,***HERMANO ENANO LE DA UNA PALIZA A GRANANTUAN EN #FIFA16 :( https://t.co/Zx3cQELwfJ
661384264525606912***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Alien: Isolation™)  live at https://t.co/CBAc8NKRBS
661376701964812288***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (FIFA 16)  live at https://t.co/AmzXUxIp0i
661296177812369408***,***@clares_daniel Gracias amigo!!!!
661284969981960192***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/G0WH30lBHd
661274573380435973***,***#AntesDeMorirQuisiera que me hablaras de ti. Pero de verdad. Como en este video... https://t.co/n66BgBVfVY
661068712141701120***,***@PirataAsfalto Tengo miedo de que me linches! No me maltrates mucho si no te gusta. Un abrazo!
661066678785085441***,***@PirataAsfalto Jajajajaja! Ok. Sorry ;)
661034322451787776***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/PP68KyiSau
661011346369069056***,***Que ganazas! Este mes va a ser mi ruina! https://t.co/Nj4DGP9hFi
661010616983752704***,***Me estoy pensando comprarme esto. ¿Que os parece? https://t.co/lHoz2Y84kt
660962128182927360***,***Un profe que ensena quimica con #Mine raft! This Minecraft World Teaches Kids the Basics of Biochemistry https://t.co/yExyliMCeX
660959414241787904***,***Genial anuncio de #CODBO3 https://t.co/cKQwEVZDC5 via youtube
660952759059877888***,***@davidelpaisa69 Aun no lo se :)
660952741766758400***,***@FranTopsHd Aun no lo se :)
660889706616385536***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/NSN6tX4wGe EL MUNDO DE LA PATINES ┋APRENDE INGLES CON MINECRAFT #22
660874649572519936***,***@bellotero69 Wise choice... 😊
660871842782011393***,***#BienvenidoNoviembre Ya quedan 5 dias para #CODBO3!!!! :) OMFG!!!! Quien lo va a jugar en #PS4????https://t.co/NKOBn4BUY2
660871350530269184***,***ESPECIAL #HALLOWEEN! NO OS LO PERDAIS! ♥ https://t.co/vQW9JBCsr4
660868821599686656***,***@FranTopsHd Gracias amigo!!! Esta serie me gusta mucho. Es muy tranquilita y didactica :)
660854941309775872***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft: PlayStation®4 Edition)  live at https://t.co/ExhfhtBOYk
660706596406693888***,***RT @DLobitoxtremox: Me gusto un video de @YouTube de @granantuan https://t.co/rDLaYTvyT9 ¿QUE ES MINECRAFT? ┋MINECRAFT PARA DIEGO #1
660706283251609600***,***RT @AleOtaku9: @GranAntuan #HappyHalloween  ^^ https://t.co/YVBMAjjoXZ
660703689024233472***,***5 Dumbest Ways to Die in Minecraft https://t.co/9Br0vJZ762
660703537651781632***,***Guy Makes His Girlfriend a Minecraft Vibrator https://t.co/zFDGGH5SBP
660635891078074368***,***ESPECIAL #HALLOWEEN ♥ https://t.co/i1IZFF2iq6
660623731816013824***,***Hija Canija os desea #HappyHalloween #diary https://t.co/FPWXo8mKzn https://t.co/ZKYsl5iPfv
660599821980438528***,***@Cress_HD mola!!!
660596148550418437***,***Hermano Enano os desea #HappyHalloween #gangsta #diary https://t.co/d7bYBnmLIw https://t.co/P9qd27e0bu
660593052180856832***,***RT @ejtgpty: Me ha gustado un video de @YouTube de @granantuan (https://t.co/EcLWN93yUJ - CANCION DE "ELCAKITAS": KARAOKE GAMER).
660593021440753664***,***@FranTopsHd un abrazo amigo!!!!
660592760819482625***,***Padre e hijo os desean #HappyHalloween #diary https://t.co/pqpU8YvJzc https://t.co/wTN30LeWNW
660579627832774656***,***@fakuu_bertagno @GranAntuanVlogs Ya lo encontraste :)
