648217589395648513***,***@liizethhmona wooooo antigua
590882049180966912***,***RT @habo25: #Antofagasta no paso naipe con el famoso viento de la @onemichile
590881488188608513***,***@Bienvenidos13 soy escorpion y ella capricornio se vee futuro diferencia 11 anos de edad
590841265299795968***,***#antofagasta estamos de acuerdo o no solo para politicos http://t.co/hEY85FSlDu
589257316018614272***,***@MarcelaTorresE como esta la tocata??
589256305518501888***,***RT @Kirckham: Hay gente tan picante que vive en los condominios que deben gastos comunes y quieren demandar a todos cuando le cortan la luz…
589256303710756864***,***RT @Kirckham: No sea cagao ! Trabajadores de los condominios dependen de sus gastos comunes al dia. Sin esa plata nada funciona. #Antofagas…
589255683561906177***,***RT @echeve_muoz: CMDS ANTOFAGASTA NO TIENE FONDOS RECONSTRUCCION ESCUELAS MUNICIPALES DESPUES DE LLUVIA VERGUENZA REGIONAL!!!#ANTOFAGASTA
589175556194840579***,***@bellasinalma_ @DonDatos feria baquedano buen precio por volumenes
588885362807873537***,***RT @info_antof: Desde hoy Barrio Industrial La Negra #Antofagasta contara con celular de emergencia directo con Carabineros al +56942797227
588885075858694145***,***RT @DonBenCruz: Urgente! En #Antofagasta se requiere un curso generalizado de #AtencionAlCliente
588884641802801154***,***#VamosLaU http://t.co/UlTQkIEXh7
588884470566117376***,***#antofagasta #udechile ahora les toca cantar http://t.co/GKQ4lXC9sQ
586986748493877248***,***#antofagasta que es malo se le va osea cda JAJAJAJA
586328557066006529***,***RT @RPONCECH: Que pasan #Antofagasta que estamos invadidos de moscas por toda la ciudad??
586327890201022465***,***RT @elykqazz: #antofagasta http://t.co/keCwgaIPaI
586327678850048000***,***RT @paugalla: Que hay de cierto,  sobre un nuevo mal tiempo para #Antofagasta
586326346034520064***,***#antofagasta algun abogado  para hacerle una consulta breve???
586289702799544320***,***@paugalla hay muchas mentiras apenas adivinaron el que paso y van a predecir otro hay satelite que lo demuestran
586288541677838336***,***#antofagasta
586274488305786880***,***#Antofagasta  La @karen_rojov  pierde el tiempo mandando  a la pdi a domicilio por retuitiar memes ofensivo a Colombianos esto es #Chile
586198458526277632***,***RT @SuperRaton_: #Antofagasta http://t.co/RsAXwcrtWN
586198306549854208***,***@LaAdictax_Angie es una plaga en todos los sectores de #antofagasta e la  plaga de mosca
585221286848294912***,***RT @dannielabrownie: Y el sexo poligamo no tiene nada de malo, lo malo es no usar proteccion ante las ets y tener tejado de vidrio con este…
585196449861914624***,***RT @PCASTILLOS: "@SeremiSalud2: Seremi Lila Vergara ojala fiscalizara el polvo que sale del galpon tambien  #Antofagasta http://t.co/3u6lkd…
584804768188657665***,***#antofagasta no + @Carabdechile #calama #Copiapo #DiegodeAlmagro #Concepcion #santiago http://t.co/9goE9Do9ZB
583758727284707329***,***#antofagasta #chanaral #DiegodeAlmagro #ElSalado como esta la ruta Chanaral salado diego de almagro  para auto esta habilitada para manana
583671519315890176***,***#antofagasta amigos voy manana a #DiegodeAlmagro tienen alguna donaciones para enviar o hacer  deposito para compra hoy alimento agradezco
583463811841163264***,***RT @camibst: Se necesitan voluntarios para reparar techos en los campamentos!!! Mnn a las 10 en sede de Techo (catorce de febrero 2929) #An…
583308090289872896***,***@Hrzernott @DerechaTuitera http://t.co/zVnjtVy81l
583299827867500544***,***#antofagasta http://t.co/xol8989dsO
583291249207152640***,***RT @MinjuChile: #Justiciaresponde #Atacama Contingente de @Gendarmeria_CL trabaja en #Copiapo para ayudar a damnificados. http://t.co/R1lVo…
583290783664627712***,***#Copiapo alcalde se le perdio un helicoptero yo creo que lo mando con familiares a #santiago como es tan care raja http://t.co/BcQOMh2Jid
583288062031052802***,***@PublimetroChile antes fue una escabadora  ahora es una camion  aljibe para el alcalde de #Copiapo http://t.co/7L61Tm7Ni7
583287780626808833***,***"@PublimetroChile: #Copiapo  uso retroexcavadora pa limpiar su casa http://t.co/lWLczHc58s http://t.co/ORtsZGpXP7" http://t.co/iihbMstOMx
583286656326860800***,***@tv_mauricio #acompanandoalnortemg #Copiapo antes una excavadora en su casa ahora un aljibe con agua http://t.co/IyF9WVhI6j
583285423297949696***,***#antofagasta alcalde #Copiapo #Chanaral #DiegodeAlmagro anterior 1excavadora en su casa ahora es un aljibe con agua http://t.co/SJ9EKNnanO
582910153009299456***,***#antofagasta #calama #Chanaral #DiegodeAlmagro #ElSalado #Copiapo  info.favor difundir carta #acompanandoalnortemg http://t.co/ZykvxFszMZ
582900327705415680***,***@lilichatita123  el tipo dice que tiene cubierto los puestos
582897835957493760***,***RT @pattypalmal: Con todas las ganas de irme al norte desolado, y hacer clases a esos pequenos!! #AcompanandoAlNorteMG
582897523947360256***,***RT @termolivares: #acompanandoALNorteMG Hola tengo maquinas de termofusion para reparaciones de agua potable y alcantarillado como ayudo
582897479403859969***,***RT @cayuken: #AcompanandoAlNorteMG  por que @panchosagredo  no mira la camara ni a sus entrevistados?, da la sensacion de indiferencia e in…
582897106551234561***,***RT @JonthanLopez_A: Mientras @Bienvenidos13  muestra farandula y @buenosdiatodos sopaipillas. @muchogustoMEGA informan de verdad #Acompanan…
582896819979608066***,***#acompanandoalnortemg alguna respuesta???
582896459923742721***,***#antofagasta  #acompanandoalnortemg pide operadores de maquinas pesada  algun contacto
582896251982770176***,***#antofagasta  #acompanandoalnortemg piden operadores de maquinas pesada  algun contacto para salir desde antofagasta somos 15 voluntarios
582737626224029696***,***RT @catita82: @OMEGA_Antof @reddeemergencia @RedAntofagasta @Aguas_Antof alguien sabe pq sale un olor a desague bien fuerte en el centro de…
582737007664885760***,***RT @claudita_sanz: @AlejandroSanz Rt x favor 3 region de #Chile #copiapo #chanaral zona de catrastofe con urgencia Agua ; alimentos; leche …
582736582584725506***,***RT @gutierreznacho: Mensaje para Liliana Vega de vina del mar  . Su mama Beatriz Anacona esta conmigo y esta bien en #Chanaral
582724987854938113***,***@fjtm la empresa #limfosep los vende a 50 lucas los depositos  de mil litros para el agua #antofagasta
582724519850303488***,***RT @fjtm: Alguien de #antofagasta tiene un BINS que me venda para traer a #diegodealmagro ?? Es para agua potable
582723643467292672***,***RT @QueNOnavea: "Cambio un soldado d pie con un fusil x un soldado con una pala y moviendose...d seguro la hacemos en #Chanaral, #Copiapo, …
582723490966605824***,***RT @dreamellie: Se necesita 4x4 para llevar ayuda a #DiegodeAlmagro @RoloHahn @pedrogarridor @palinaarias @ucvradio @adnradiochile @biobio
582566380303749121***,***RT @Red_MaestroPKM: Que pasa con esto? Quien miente?#Copiapo #chanaral http://t.co/RI1YtxS0F1
582263674158612480***,***@piccolinnna  te mande el mensaje que me mando ayer
582250515075055616***,***@piccolinnna md
582248759406497793***,***#DiegodeAlmagro #antofagasta  como la plaza de mi pueblo macho y cuna esforzandose para salir adelante http://t.co/kvE6GidkGz
581962535810793472***,***RT @kmilapipin: @24HorasTVN  @ahoranoticiasAN  @JoseRepenning Informacion sobre carcel de #Chanaral ayuda por favor
581962119496777729***,***#Chanaral como esta el. Abastecimiento de combustible para seguir hacia diego  de almagro desde #antofagasta
581927332111323136***,***#Antofagasta necesitamos operadores maquinaria pesada saliendo  un bus a #chanaral al despeje de vias i sacar lodo de casas quien se anota
581926875578134528***,***@exploraelqui OK gracias
581885446684352513***,***@piccolinnna si no aparece en ningun lado estimada e buscado  por sielo mar y tierra  en todos los listados
581883187783188480***,***#DiegodeAlmagro tienen informacion de familia hidalgo Cofre barbara daniela rodrigo viviana Andrea gonzalo  se agradece estan desaparecido
581860879895040001***,***http://200.9.100.120/mobile/links/informes/2015/03/erb_28-1636-51L.S201503.html #antofagasta #calama temblor
581841121535475712***,***@mariapazlarrain OK retirase
581840769427849216***,***@mariapazlarrain  denuncie ala autoridades por lo que se todas las embotellado estan sobre el valor normal
581838435150880769***,***@fernyferny @ColarteRodrigo  puede ser el proyecto haarp dices tu??
581830543781863424***,***RT @diegazo91: Disculpa pero ella es HIJA DE PERRA #Arica #iquique #Antofagasta #Copiapo #Chanaral #TierraAmarilla #DiegodeAlmagro http://t…
581830313308979200***,***#Antofagasta esta habilitado el transito a #chanaral todo tipo de vehiculos  precaucion llegando al sector
581822711510499329***,***#DiegodeAlmagro #antofagasta #chanaral #Copiapo #taltal la peor tragedia  que puede ver en el #norte es el #centralismo  buenos dias
581670334983737345***,***@Ayna_Afta el. Gobierno  va haciendo caminos para llegar  al interior y llegar con la informacion como dicen estan  aislado
581669736351698944***,***@ElyVillalobosR que  terrible me imagino que no hay conexion terrestre  van avanzando mientras hacen caminos
581669074805137408***,***@mikvlandh @ElyVillalobosR  negativo son centenares http://t.co/wgVpUs6bfR
581668198967328768***,***@ElyVillalobosR son muchos los cuerpos no hay comunicacion alguna al pueblo
581667916405481472***,***"@ElyVillalobosR: @sikermix cierto! Un familiar d El Salvador viajo a #DiegodeAlmagro  y dice que es horrible ver los cuerpos" #antofagasta
581665946655461376***,***@claudia_urbina https://t.co/U9PXkKymBN
581663912141160448***,***RT @Danilo_AvM: #DiegodeAlmagro aguante !!! Ayuda urgente, #Antofagasta @onemichile @GobiernodeChile Ctm apuren la causa
581663448553119745***,***#Chanaral #DiegodeAlmagro #Copiapo #antofagasta el gobierno oculta cantidad de muertos son muchos mas y producto del mismo error tsunami"
581662973967622144***,***RT @Lazzaro_: #Chanaral @biobio @tv_mauricio el gobierno oculta cantidad de muertos .Desgraciadamente son muchos mas y producto del mismo e…
581662702172536833***,***@claudia_urbina @reddeemergencia http://t.co/LBGZ6cIw9o
581662699882487808***,***RT @claudia_urbina: Algun fono de contacto de albergues de #CHANARAL? Por favor! #chilebusca #PersonFinder @reddeemergencia
581655877746343936***,***#DiegodeAlmagro familia hidalgo Cofre  barbara daniela rodrigo viviana Andrea  alguna informacion. De albergues xfa
581653849733246976***,***RT @mkglaser: RT RT RT!!! Porfavor compartan cada granito de arena ayuda #antofagasta #FuerzaNortedeChile #TVN #chilevision http://t.co/ab4…
581653556589170688***,***RT @MitchelCartes: Ya llega la ayuda humanitaria para ir en apoyo de las regiones de #Antofagasta y #Atacama Tarapaca Iquique Presente! htt…
581653476700266496***,***RT @gianfranco370: "@a_garridof: Comenzaron las quemas en el sector vertedero  #Antofagasta"
581653268885032960***,***RT @bihotita: Joven combatiente... No es momento para tu piedra o tu molotov.
581652936209641473***,***@Jorjolo0 agregarme al Facebook guillermo Luis hay tengo nos listados
581652589223235584***,***@pedroifuentes es evaporacion  por la humedad que hay en #Antofagasta
581652158879256576***,***#antofagasta #chanaral #DiegodeAlmagro #ElSalado #Copiapo  para su informacion http://t.co/A1tTvmhE44
581641849506537472***,***RT @karinamaybe: Un amigo en #Antofagasta ha puesto a disposicion camion para llevar ayuda a #Chanaral contacto 81353121 RT http://t.co/ugL…
581624483548700672***,***#antofagasta #chanaral #Copiapo #ElSalado #DiegodeAlmagro tengo un listado de personas a salvo  en #DiegodeAlmagro
581602823336513536***,***RT @locosmayo: Tenemos 1.000 sandwich y 2.000 botellas de 250 ml para llevar a taltal necesitamos un camion refrigerado para manana ! #Anto…
581558039062450177***,***@AntofagastaTV  @Canal95antofa necesitamos trasporte para un grupo de operadores multiples para ir apoyar a #chanaral  #donacionatacama
581557345521700864***,***#antofagasta quien sabe si esta habilitado la ruta antofagasta #Chanaral
581556111188320256***,***@dani_megafono puedes hacer un rt para poder tener una micro para Chanaral somo operadores con disponibilidad  ala tragedia
581552653718667264***,***#antofagasta somos un grupo de operadores multiples  que necesitamos trasporte para #Chanaral para apoyar despeje bien vias
581546860613095424***,***@Jen_Caminada te puedes conectar y pedir el numero porfa
581543226009583616***,***@canuo @_Camy_LA  si de antofagasta  a Chanaral
581542077315584002***,***#antofagasta necesitamos trasporte liebre a #chanaral #Copiapo  somos 25 operadores maquinaria pesada con relevo para hacer despeje de vias
581537103395336192***,***#Copiapo #Chanaral #DiegodeAlmagro #ElSalado los conseguimos el transporte http://t.co/tTIVmYSNsm
581536212638388224***,***#Copiapo #Chanaral #DiegodeAlmagro  estamos consiguiendo transporte http://t.co/gqqEC7iuEg
581531621611970560***,***RT @Fumiscua: Vienen,sacan el cobre,se lo llevan,se hacen ricos y nos dejan empobrecidos y contaminados.Ciudades mineras  colapsadas  #Anto…
581529875644833792***,***#antofagasta juntamos 100 O maquinaria  pesada faltan otros 100 para  relevo sin lucro beneficio #Copiapo #Chanaral http://t.co/VV7GKIejTo
581474017275674624***,***RT @fersilvaseguel: Que super esta abierto hoy porfa? #Antofagasta @AntofagastaTV @elnortero @diarioafta
581473750299897856***,***RT @verelogia: Alguien tiene noticias de Unimarc La chimba, lider norte o punto de encuentro? Estan abiertos? Tienen redcompra? #Antofagasta
581473363320766464***,***#antofagasta como estan los supermercados lider llenos con que firma hay que pagar alguien sabe gracias
581281831691128832***,***#Chanaral quien lo  conocen extraviado quien lo a visto una familia no sabe nada de el cualquier informacion http://t.co/sRJx9yktHf
581224822656655360***,***AHORA |Gobierno anuncia Toque d Queda de 23:00 a 06:00 horas #DiegodeAlmagro #Chanaral  #Copiapo region de #Atacama. http://t.co/8Ld0EVQmce"
581223413445976065***,***#antofagasta marejadas terribles y ahora el morro.. De #Arica des barranca do #iquique #Copiapo #Chanaral 😱 http://t.co/sLtNPEMBl5"
581217625927237633***,***Posible rotura de tranque en el #Salvador Indican evacuacion #Chanaral #elsalado pasa con las localidades q estan ANTES como #DiegoDeAlmagro
581182140580294656***,***#antofagasta ahora es la hora de la verdad alcaldesa http://t.co/Y3IlRV3ai6
581176265790631936***,***RT @HernanBelloni: Quieren alegar por algo real? Aleguen porque los albergues son pocos. No se pudo habilitar Gimnasio Empalme o el Centena…
581176128284594176***,***#antofagasta empresa de  amigo mantiene el agua a $1700 el dato el que lo requiera llame numero de fono en imagen http://t.co/E4dyQAtohc
581173013971861504***,***RT @AntofagastaMuni: Puntos aljibes @Aguas_Antof:Osorno/CobijaVicuna/AzapaPaihuano/Ollague #Antofagasta
581172940978425856***,***RT @AntofagastaMuni: Puntos aljibes @Aguas_Antof:Vallenar/Av. MejillonesBellavista/CalamaAv. Magallanes/Calbuco#Antofagasta
581172163941670913***,***RT @mabarweb: se pasaron: Jumbo #Antofagasta duplica el precio de los bidones de agua  http://t.co/PXj6x7Rjqo #Especulacion #Cencosud"
581169596163629056***,***RT @iamIrarrazabal: Buen almuerzo con vino en mesa tiene Alcaldesa en moche peruvian frente balneario. Que sus delegados trabajen, ella tom…
581168772469362688***,***#antofagasta #calama #taltal #Copiapo #Chanaral #DiegodeAlmagro #ElSalado #tocopilla a denunciar estos corruptos http://t.co/Du7l2DaOVY
581163890005958656***,***#antofagasta #taltal #calama #baquedano #sierragorda #tocopilla #Chanaral #FuerzaNortedeChile http://t.co/kNDR1NXPzL" situacion de rutas
581162637293170688***,***#antofagasta se callo #entel
581155738418024449***,***RT @KIKEDIAZNOGUERA: Hoy aprendi que una simple palabra puede llegar a sanar almas. #elsalado tiene corazon.
581154420194410496***,***NECESITAMOS MAQUINARIA URGENTE  LASEmpresas DE MOVIMIENTO D TIERRA Q SE PRONUNCIEN #Copiapo #Chanaral #DiegodeAlmagro  #antofagasta #taltal
581152534137606146***,***RT @pafien: A ver… ya sabemos que #Antofagasta llovera mas que antes por el cambio climatico. Urgente adaptar la ciudad a este nuevo escena…
581152287042740224***,***RT @clarinchile: “@_Alvaroooo: Santa Isabel #Antofagasta esta vendiendo el agua de 5lt que normalmente cuesta $1.300 a $6.000.”//¿Y jefatur…
581152099217620992***,***RT @yoopinopino: “@pixulonko: Jumbo #Antofagasta @Carabdechile http://t.co/CFqDcoA2fx” Misma empresa q interno mercaderia como ayuda humani…
581150199403380736***,***RT @FrannGups: Me llegaron estas fotos de Como  quedo el Mall Plaza Antofagasta #Antofagasta http://t.co/MO5A7rm5je
581149928845639680***,***#antofagasta #Copiapo #taltal si los almacenes suben las cosas y productos basicos, le roban al pueblo entonces que el pueblo  robe ahora
581128592425390081***,***RT @You__tweet: Por favor que la #prensa se encargue de informar a #davalos y cia. Que los terrenos en #chanaral estan super baratos!!!
581104926690004992***,***RT @SeremiJusticia2: Seremi @AlejandraPozo monitoreando alrededores del Centro Cumplimiento Penitenciario #Antofagasta tras lluvias http://…
581104553505984512***,***RT @kalitruri: #Antofagasta el Estado de  Chile no aprendio nada d Aluvion del 91. Las Autoridades son unos incompetentes, muni sin articul…
581104283346669568***,***@MackaCastro esta cortado en aguas verdes camino  a PAn  de azucar esa es la ultima informacion
581103911458758657***,***@aleolivaresv sigue el alud que baja de baquedano hacia la negra no baja por salvador allende saludos
581103092495716352***,***#Antofagasta #calama #Concepcion #villarica #Copiapo #Chanaral para su informacion estan hechadito en sus casas http://t.co/H4Rah8JP7a
581098499908993024***,***Atencion #antofagasta Aqui telefonos moviles,fijos del albergue instalado en comuna de #DiegodeAlmagro  95784150 /  95774689 / 0522441014"
581097186341089281***,***"@jchandialavoz: #FuerzaNortedeChile desde #Panguipulli #Chanaral http://t.co/QM4XkTyw8y" #Antofagasta
580953155443245057***,***"@r_sandoval_: #Chanaral ALERTA: se viene aluvion Chanaral evacue por favor Se rompio el tranque en #DiegodeAlmagro precaucion #antofagasta
580951954219749376***,***#DiegodeAlmagro informacion.  Se desbordo el tanque??? Quien sabe eso estan confirmando la informacion
580943704531333120***,***@karliandrea21 industrial hacia arriba
580943580803534848***,***RT @karliandrea21: @sikermix pk sector es eso?😱
580943334677614592***,***RT @elMaligno_: Alguien puede confirmar lo de las piscinas aluvionales en #Antofagasta, se rumorea colapso por estar llenas
580942922075496448***,***#Antofagasta asi esta saliendo el. Agua @Aguas_Antof http://t.co/LmqGuUQ0R9
580931260035502080***,***#Antofagasta todas Las bencinera estan operativas a esta hora
580930463168073728***,***RT @caretrece: Ella tiene dos caras: una para los medios y otra en privado. #Antofagasta
580930229234982912***,***#antofagasta #Chanaral #ElSalado #DiegodeAlmagro #Tierraamarilla URGENTE #Botes #Linternas para esta Noche- Aun gente desaparecida-aislada
580929721464176640***,***#antofagasta Recuerde seesta usando el hashtag #ChileBusca para ubicar personas #DiegodeAlmagro #Chanaral #TierraAmarilla #Copiapo #ElSalado
580928961435328513***,***#Chanaral #ElSalado #DiegodeAlmagro #Tierraamarilla URGENTE! #Helicopteros rescate nocturno . No se puede esperar a manana" #antofagasta
580927862221463553***,***RT @mkglaser: ATENTOS PORFAVOR RT!!!! #Antofagasta #Atacama MAS VALE PREVENIR QUE LAMENTAR RT RT RT RT http://t.co/ao7EqoR1uU
580926485445365760***,***RT @habo25: #Antofagasta hoy me di cuenta q el intendente Volta es un completo incompetente o tenia mal asesores en la onemi!  @karen_rojov
580926053327216640***,***#Antofagasta se  escucha fuerte el. Sonido del mar en el cerro  no se por la costa como se escuchan
580905324531564544***,***#antofagasta y q se sabe si que las lluvias esta noche y?????
580847487277092864***,***#antofagasta #calama #Copiapo  somos #Chile carajo   demostremos que somos chile y todos coperemos unidad como lo hacemos con la teleton
580832527906136065***,***#antofagasta vuelve la lluvia senores
580821061958275074***,***#Copiapo #antofagasta #chanaral #nortegrande #nortechico fuerza por eso la lluvia  no es bien venida somos grande #ollague
580537362616348672***,***RT @venta_d_garage: #ATI 2 anos mas? Traigan a su familia a vivir frente al puerto y quizas les crea. #EstoNoTieneNombre #EstePolvoTeMata #…
580537254415888385***,***RT @monalcp: #Antofagasta #Entn no va a haber acopio? Y mientras que hacen! Como respiran? Como ayudan a los que estan enfermos?
580537182932365312***,***RT @entn_tvn: Alcaldesa decreto la demolicon de uno de los galpones #estonotienenombre #estepolvotemata #antofagasta
580537144202117120***,***RT @Boudicka: ATI reconoce q se pudo hacer mejor antes, sin movilizacion no habria posibildad de cambio ¿eso quiso decir? #Antofagasta #es…
580525940352122880***,***#antofagasta a que hora es el reportaje
580482056980951040***,***#antofagasta callando agua nuevamente http://t.co/iJ0eWnADhv
580445647951790080***,***#antofagasta hay le estan demoliendo el galpon  los lucik al decreto JAJAJAJA http://t.co/gRDySnoYjA
580439647358226432***,***#antofagasta #calama cuidado  no la vallan a pillar desprevenidos senores http://t.co/nccOdVX7Of
580421878520614912***,***#antofagasta con esta calor no dan ganas de ni de hacer cakita
580419670152482816***,***RT @MarciGG: Se tomam terrenos y lloran porqe se mojan paren las weas frescos de raja #Antofagasta
580408509575090176***,***RT @javierKommissar: Esta es la primera lluvia de la karencita, cierto? #Antofagasta
580408325541625856***,***#antofagasta eso era todo amigos esta en declinacion o va a ir en aumento al transcurso del dia????
580404426298540033***,***RT @RneAntofagasta: @AntofagastaMuni indica a vecinos, se confirma la suspension de clases durante la jornada de esta tarde en #Antofagasta
580403056065585152***,***#antofagasta en cada esquina precaucion http://t.co/3riqcFIzej
580366611892277248***,***RT @migueeeARM: Estan cayendo gotas en La Negra.... #Antofagasta prepare your anus...
580356902502158336***,***#antofagasta La autoridad aun no se a pronunciado  con la lluvia habra o no habra   meteorologo no se quiere ni asomar ni ala esquina
580354973998931968***,***RT @RReygada: Hidroaysen, Pascua Lama, Alto Maipo, Caimanes, Castilla, #Tocopilla, Puerto #Antofagasta, #Calama... ENTIENDAN CHILE CLAMA X …
580338849785749504***,***@Mega @muchogustoMEGA nunca huvo lluvia  en #Antofagasta si que no diga que hay pronostico general saliendo el sol
580330797707726848***,***#Antofagasta otra vez no le  achuntaron al pronostico siempre pasa lo mismo #lluvia que salga el sol ybd jardin ridiculo al meteorologo
580210810137481216***,***RT @elEstadistaAfta: #Antofagasta  La vente de drogas en calle Condell /Baquedano y sucre/matta sigue sin complicaciones. Terrible!! http:/…
580210570214928385***,***RT @StephyPoulsen: @VTRChile que mierda de servicio?!?! Sin internet en la casa y cable que se va la senal a cada rato!!#VTRrobo #comolacal…
580192117982695424***,***#Antofagasta y la Lluvia  veo puras estrellas JAJAJAJA
580191993365708800***,***@kemiroma noticiero central??? O red ANTOFAGASTA
580191672933421056***,***@morales_hurican que lata no la vi esta vea de directv no los regionales
580186552703311872***,***#Antofagasta a que hora empieza esto no tiene nombre??? Ya que estan dando #que comes
580175581054136320***,***#Antofagasta que sector las. Gotas o sectores xd
580126077319774208***,***RT @Kruely: @Fisca_MTT en #Antofagasta linea 104 tira humo negro que tambien es #estepolvotemata
580125922709377024***,***RT @ariel_jc: AHORA: Carabineros detiene a delincuentes preliminarmente con auto robado #Antofagasta http://t.co/aX6rZf2lb2
580123396593311744***,***@eduburgosalazar lo mismo preguntamos nosotros que hace el calor en el sur
580123232054939649***,***#Antofagasta aque hora empieza los chubascos nadie dice si sera madrugada noche dia y cuanto llovera
578758475972509696***,***RT @Lucheque: #Antofagasta Corran la facturaaasss, escondan las boletaaass, que la fiscaliaaa yaaa llegaaa !!! jajajjaja #SQM #YercoPuchento
578757829235965952***,***"@elEstadistaAfta: ahorita  traficantes @PDI_CHILE , ofreciendo drogas en pleno centro #Antofagasta terrible! http://t.co/UwSF8IuyTI"
578752299843063808***,***#Antofagasta @karen_rojov @AntofagastaMuni poner atencion  alcaldesa donde mete la mano del boton de tsunami #calama http://t.co/hFj9k2vLho
578712026224156672***,***RT @CzarCroft: no fue simulacro, fue cagazo xD #Antofagasta
578711892765601792***,***RT @BombaPrat: Onemi #antofagasta informa que no existe evacuacion del borde costero y la activacion se produjo de manera accidental,llaman…
578711760972173312***,***#Antofagasta #onemi informa error infraestructura. Informatica tecnica de sus colaboradores. Fuente onemi
578692908024508416***,***#Antofagasta  consulta me meti a ver a sii la O renta y me salio que podia hacerla y la hice salio un mensaje que ha acepto se puede hacer
578612190585978880***,***"@GobAntofagasta:  #Antofagasta y @PDI_CHILE  fiscalizacion migratoria http://t.co/guzV8WW5vO" / que muevan la raja en la noche y dia
578611182275268608***,***RT @RodRamos_: No reclamemos que esta la embarrada con el trafico, si nos andamos estacionando dond sea solo x poner los gatos #antofagasta…
578611074200666112***,***@camidubidu cuando toca la orquesta con entrada
578226575826649090***,***#Antofagasta #iquique #calama #Copiapo   parece esta situacion L colmo @karen_rojov  @AntofagastaMuni @accionantofa http://t.co/NBOCGpUjbl
577634031480803329***,***RT @ChechiLagosA: Y el Intendente @valentinVoltaV se subio al carro de la victoria en lo logrado por los Alcaldes en lo relativo a la luz? …
576888373446619136***,***RT @kris122144: @bukanero3 @agenciaunochile Siempre llegan primero, y no buscan Votos....#FuerzaValpo http://t.co/MnnuFgVLv8
576888046815211520***,***"@ariel_jc: @sikermix / pero el motivo cual seria?" // anda haciendo la cuota  los 5 minuto q estuve va todos los controlaron y parte
576884427697098754***,***#antofagasta ojo estan partiando todos los que van a echar bencina en Petrobas al frente de sodimac constructor http://t.co/n2DRKwjkYW
