671183772189106177***,***She and her face😀And I always smiling and cacheton😀😁 lol #Day #Relax… https://t.co/kl1AWXvP66
667875798842503168***,***RT @clarohonduras: @_RichardMachado. Buenas noches, gusto en saludarte. Escribenos en el chat de nuestra pagina web: https://t.co/dsPgLrlsVy
667874861478494208***,***RT @iArthur_DJ86: @_RichardMachado Just chilling. whats up?
667874850762027008***,***@iArthur_DJ86 When premieres new songs?
667873292863320064***,***@iArthur_DJ86 hey bro!😊
667866107957665792***,***RT @TigoHn: @_RichardMachado Buenas noches Estimado, es un placer saludarte, puedes enviarnos tu consulta por DM con mucho gusto te antende…
667865508730044416***,***@TigoHn hola me gustaria hablar con ustedes por privado ojala me puedan atender saludos
667862959109095428***,***#ComingSoon #TuAmante of @WalYDiony @Wal_Farley #Diony #LosDinamicos👍🎵🎤💿
667518542703673344***,***😷😫As always troubled😒her but that I love my little piece of people😍😛😜#Sis… https://t.co/w6VLvdHhy4
667517510388809730***,***😍Her visit was amazing I love you baby thanks for visiting😜 are already… https://t.co/nL8ozhc75z
667517477392396288***,***😍Her visit was amazing I love you baby thanks for visiting😜 are already… https://t.co/nL8ozhtIu9
667516374080729088***,***#MyLittleLoves❤#Isabel #Genez😍 https://t.co/Ms5MYj1pKU
667026186233626625***,***because here with some old school friends😂 remembering all the times😢 we… https://t.co/7JnjzncRPZ
667024237023076352***,***Ella como siempre molestandome😒amo que hagas eso😍Sis😚Te Adoro❤#Sis SOS a… https://t.co/Q8Rd4bi4ja
666380826507132928***,***#CousinLittleJafeth😒as always to look moleston😣but that's rather humble… https://t.co/02blipb1k2
666379842917548034***,***Add me #Snapchat ~&gt; r1chardmachado 😊 https://t.co/2T5hyHZlqZ
666379347369058304***,***#She forever bothering a good morning😒 #Sis😒 https://t.co/JmSf0l7UEt
664234986250313728***,***Oye princesa! Si tu princesa?La que esta leyendo esto, no llores mas por… https://t.co/aPsWfFkzx5
663465883268984833***,***Ella como siempre #Alegrandome las #Mananas 😂 #Isabel😍 https://t.co/X0YPCNlg97
663464676928397312***,***Como espejismo estoy en tus madrugadas Se que aun sientes lo mismo… https://t.co/9epZhuTsRs
662438297831084032***,***No dejes que nadie te #Subestime por la persona que eres lucha por lo… https://t.co/cmSZMhbZ9v
662437064714158080***,***Jajaja #TodosRaros😅 https://t.co/n4HrQaR8nK
662435523387105280***,***#Repost @gloriag0mez with repostapp・・・#friends !Pues con #GloriaVlogs… https://t.co/KFiSulEy9L
661768630888226816***,***Pues #TodoSerio😁jaja y #CuidandoAMiHermanita #Isabel😍#Ella #MiTodo❤ https://t.co/6mEyKXZxiG
661036360875266049***,***#Prefiero estar solo😦que estar acompanado😔 https://t.co/GkF9d7lwYX
660886155613880320***,***Me alegra saber que @FarrukoPr @AlexioLaBestia @KENDOTHEDEMON  @pushocpw haigan arreglado los problemas que tenian! Eso es de hombre exitos
660843774348775424***,***RT @AppleMusic: #Visonary@FarrukoPR’s new album is out, with @Pitbull, @DiRealShaggy and more!https://t.co/a40XnO05z1 https://t.co/cPq1QG…
660843697517522944***,***RT @SonyMusicLatin: Como loco, #Obsesionado forma parte de #Visionary Ordenalo ya! @FarrukoPR #NewMusicFridays https://t.co/GNKHdP0NHa http…
660843608002707456***,***RT @SonyMusicLatin: Pre ordena #Visionary de @FarrukoPR y disfruta las 14 canciones que incluye su nuevo album. https://t.co/GNKHdP0NHa htt…
660302414336102400***,***Pues relajados con los Mios en #Minecraft dimelo @brayanrm1999 #Olvin2015😁 https://t.co/OOPVdtseLX
660259886366896128***,***Cuando mas solo puedo estar😔ella siempre alegra mis dias😍mi… https://t.co/hwidYsAevp
660230532945600512***,***Les Recomiendo ver el Video de mis #Hermano #GrupoLosHalcones #MisionPesada #LoMasNuevo https://t.co/ZQzyfBO59O
655138397359644673***,***RT @00BlackPearlLJ: Thanks for the recent follow @_RichardMachado @Speedmanmusic Happy to connect :) have a great Tuesday. (insight by http…
652287091523481600***,***Nadie sabe lo que tiene , hasta que lo ve perdido 😃👍
651770460141654016***,***RT @iArthur_DJ86: @_RichardMachado sure. Feel free
651770458212274176***,***RT @iArthur_DJ86: @_RichardMachado no probs buddy 👍
651769868300107776***,***RT @cla20_: @_RichardMachado  me sigue ... ustedes tambien deberian seguir esa cuenta ......#SigoATodos #SIGOYRECOMIENDO #SIGUEMEYTESIGOE…
651769773060063232***,***@iArthur_DJ86 can speak by dm please?
651769313246863360***,***@iArthur_DJ86 hey bro Thank You by follow me😃 blessing
650747287182774272***,***A mis Hermanos cantantes Hondureno cuenten con mi apoyo en la musica me pueden enviar sus tema a richardpromocion@yahoo.com oh me mensionan😃
650389177394184193***,***Fue un placer haberla conocido #WaleskaContreras😊 #CPNSB #CPNCEIBA😃 https://t.co/cGezuXtEFi
650311319443374081***,***Aqui con uno de los #MejoresGuitarristaElectronico #ProfesorBayronSanchez… https://t.co/m8OT7z1qvk
643907354593988608***,***De nada sirve morirte por una persona que no vale la pena😞 https://t.co/1T5BkK5m4x
643905360475090944***,***Un placer haberte conocido #Hellen🙊 https://t.co/Rk6oUoKcDq
643903486380384256***,***Que dice el hombre😂dimelo #NeptalyPaz https://t.co/huWsRQH4ai
643902177921122304***,***#ProfeGrashy😘 https://t.co/SniGIKEX0f
643901072441012228***,***🙊ClaudiaMachado🙊#SexiElla😂 https://t.co/MmnuHTyzC0
643899838690664449***,***#ElizabethPalillona #ITSB #Independencia2015 194 Aniversario #Honduras https://t.co/1BFXHp4kre
643897757737091073***,***She🙊#LoveU❤Sis🙊She is Special😍 https://t.co/RvqxsGAl18
643873220316254212***,***Ella como siempre no me deja #dormir😂 https://t.co/enLtiYDFn0
643587773308514304***,***De nada sirve morirte por una persona que no vale la pena😞
640606123385585665***,***😔😕😶😞 https://t.co/wLmHnt2bwW
638744755866877952***,***#FelizDiaDeLaBandera 1 de #Septiembre #FiestasPatrias https://t.co/tayoIQFE1H
638744559594438656***,***👮🏃 https://t.co/Rit0Vatgzg
638198508445564928***,***#Chekate #VideoLyric #Sentimiento de @WalYDiony | https://t.co/yDcEXPiWli | by @Youtube @_RichardMachado | @wal_farley@DioniMerodeante
638185192058941441***,***Apoyando a mis #Hermanitos @walydiony con su nuevo tema #Sentimiento.… https://t.co/1HeuDYg5pE
638180570787397632***,***#Cierre del Mes de #LaFamilia🙏#ActividadIglesiaCatolica❤ #LaFamiliaEsAmor😇 https://t.co/ImdE5NDGcF
638177337188708353***,***#Primos😭#Claudia #Richard #Cris #Eder😭siempre😱 https://t.co/0pIko8J9gw
638173722021654528***,***😇Day of #Blessing, activity of the #CatholicChurch🙏 https://t.co/zESFA0J8eN
637817568531730433***,***#DiaRelajado😱con ellas🙊#dimelo #Yessenia #Margie #RichardM #Iris..🙏 https://t.co/HigVy6pwr6
636694284834611200***,***#Sis😍Isabel❤ https://t.co/nrwYbaLv1J
635253567520116736***,***😂jaja pues grandes inventores😱tomarnos foto sentado en la… https://t.co/Cy3D0sRutm
635252561453387780***,***Valio la pena un dia como hoy #Gracias a mi gente del… https://t.co/4fivsFoq6P
634892624957153281***,***#DiaLoco😂todos #Desarreglados😭pero pasandola Dimelo #Claudia… https://t.co/BLpANrNhOL
634552951844020224***,***#LoveU❤Sister😍 https://t.co/SpjEnuZ8yZ
633829948713734144***,***Hey #Sebastian tenemos un trabajo pendiente por terminar😂jajaja… https://t.co/kVSOGcgL0M
632025991674732544***,***😭jajaja con este cabron solo somos risa😂😂Dimelo #Marlon😭 https://t.co/8GLW1T5iBw
632025306438705152***,***😔 relajado un poco pensantivo😭😐😂pues asi es la vida😂😂saludos mi gente.. 😂😂 https://t.co/04fYQuirjg
631563494773682176***,***😂😭hahaha lol with #Brayan #Samuel😭😭 https://t.co/DPtP3rKop2
629840317949284352***,***#Repost cosculluelaclubfans with repostapp.・・・🎉Feliz cumpleanos🎊 a… https://t.co/4a4mOB1D5j
629751456053227521***,***RT @JLeveron16: @_RichardMachado muchas Felicidades Amigo a la distancia se te deseo lo mejor!!
629741355535699968***,***RT @6b1a2c2c679e447: @_RichardMachado @ogblacksugar @eliotelmagodoz @duranthecoach @juanfranciscods  happy birthday
629741344726986752***,***RT @johnnylozada: Felicidades  https://t.co/wj14bbuIwe
628049537320488960***,***😱With She valeria_diaz28🙊 https://t.co/zCwNe2GjJk
628007055790579713***,***💔Como deseo volverte a ver de nuevo😔 https://t.co/cfc5z2s5in
627622893246091264***,***😱😂ready con los pana😭😱Dimelo #Juan #Brayan😎😎😃 https://t.co/f65zQgoY4M
626617262951256064***,***No importa cuantas veces te golpee la vida😔parate sigue luchando y… https://t.co/a2oRttNxGF
625844478465736704***,***😂here with a friend from kindergarten 😱lol with whom I went to find… https://t.co/Mt1CBG4IU7
625164011240353792***,***#DiaInolvidable😍😂 https://t.co/SwGA0Snb9W
625159810246443008***,***#FelizCumpleanos😍a las dos mujeres que mas amo en este mundo😱mi #HermanaIsabella❤ y mi #MadreIsabel😍 https://t.co/yfqRP16zYS
625016359076933632***,***Aqui con uno de los mejores #Gamer de #CallOfDuty😃siempre #cotizado Dimelo #SamuelYoSoyGoku29🎮👾 https://t.co/oQgljEVXIk
624664158286532609***,***Hermano quede admirado de ti tu luchabas por tu vida😔siempre mantuviste tu sonrisa en tu cara😃SOS… https://t.co/cQgnOm2aKH
624437993118547968***,***Esto va dedicado a mi #gente que lucha por sus vidas😔 https://t.co/eo2N3yrjR1
624364757580169216***,***RT @ipautaorg: Reguetoneros lamentan la muerte de Mexicano  http://t.co/ZpP6TB7N1P http://t.co/emhnlP0qvt
623925702765752320***,***Uno de los Mejores #regalos en mi vida🙊es mi #Hermanita❤ella la amo la adoro😍😍es una amor #Este… https://t.co/GFmiqwBv0Q
622634459926515712***,***¿Quien te esta texteando a esta hora?Enserio ya vas a empezar¿Quien es ella?Es una amiga,… https://t.co/j9o5CTa3ok
622626988440858624***,***Amor, dejame explicarte... Ella es una amiga, ella no es mi amante. Y eso no fue mi plan, ella solo… https://t.co/yWsn7jGKUH
621889976704311297***,***RT @PremiosJuventud: ¡Ooops! Mira los "technical difficulties" que tuvo @FarrukoPR en los ensayos de #PremiosJuventud &gt;&gt; http://t.co/jZI4jd…
621739407167455233***,***Gracias mi #Gente ya somos 30 mil #Seguidores.. Se les quiere de gratis❤❤
620451972550930432***,***Visiten mi #CanalDeYoutube🎵⬇http://t.co/o7fV39C7dH#Suscribanse✅#FansPageFacebook⬇http://t.co/CgcfOip5nC#DaleLike✅ #Gracias😃
620349203320020992***,***@OrtizIracema por nada amiga #Saludos😘
620327457581858816***,***RT @ReyesOficial: @_RichardMachado Seguido n.n
620278172282691584***,***@ReyesOficial saludos mi hermano espero que nos podamos comunicar por twitter saludos pana gracias por tus videos eso me mantiene informado👍
619665102757842944***,***Cuando ando #moto solo me recuerdo de alguien que tanto #aprecie #respete y segui su #ejemplo😔el… https://t.co/IHqiWrLy2W
618628423364292608***,***Pues #tiempo de haberme perdido😂pues aqui estamos #reportandonos con toda mi gente del #corillo ya… https://t.co/vGKbQIbjiT
618626390309629952***,***#EstamosReady👍para todo a #relajarnos un poco😳Dimelo #Elizabeth😭 https://t.co/3cb8tfv3Ib
612107805684801536***,***Cuando estoy enfermo ella es la que siempre me alegra mis dias❤#LoveU❤Sis🙊#IsabelMachado😍 https://t.co/qlCXVC98Wc
607604409212674049***,***Mi gente bella ya pueden visitar mi #Canal de #Youtubehttp://t.co/R8wa13ddOkY le pueden dar me gusta a mi fans pagehttp://t.co/daxmKHTKB9
607383546811056128***,***RT @brayanrm1999: Pasandola bien con 1richardmachado @_RichardMachadobrayan1999 https://t.co/87WWlESnyT
607379876082012160***,***Pues #Competencia de #CallOfDuttyBlackOpsII😂Dimelo #DjPijute👍 https://t.co/eUTqRyOSDy
606918713812635650***,***#todo #relajao con el #PanaJuan👍 https://t.co/4OnCgm1k00
606918329752788992***,***Dimelo #JairTheCat😂 https://t.co/AgtRATXCkT
606916912661069824***,***👍#TamosActivo #BroDaniel👍 https://t.co/ZuIJ3bUQUi
606909565586784256***,***#DimeloPapi😂😭😭😭😭#TodoLoco #SinNadaQueHacer #TodoVirao😂😂Dimelo Cabron #DjPijute😂😭😭😭👍 https://t.co/Dg3vRpDcwg
605146871795990528***,***Siempre #Apoyando a uno de los #Mios #TalentoNuevo @walydiony👍 #Honduras #Colombia En la Casa✅ https://t.co/1Di86Fy2Eg
604661142041051136***,***RT @djombic_: @_RichardMachado 🐉Sթεƈเαℓ_Ŧʀιεηδs🐉🔰🍀🍀🍀💠🍀🔰      💠🍀🐉🔰   💠🍀🐉🔰💠🍀🐉    💠🍀🍀🍀🍀🍀🍀🔸🐉💠🍀🔰💠🔰💠🔰🔸🐉🔰💠🍀🐉🔰   💠🍀🐉🔰      💠🍀🐉🔰🍀🍀🍀💠🍀@Leil…
604444093364748288***,***😭😭my bro be eat😳i doing te video😂 https://t.co/X5lmpHlV0V
604443420694822912***,***Dimelo #DjPijute😂 https://t.co/HQWoi2NDwN
604439014091984898***,***@EliotElMagoDOz #Saludo a Richard Machado✅Siempre apoyando a uno de los mios Dimelo pana… https://t.co/Irkg4PwScx
602166089766670336***,***Una mujer bella solo necesita de su sonrisa,una mujer seductora solo necesita de una mirada,una mujer inteligente solo necesita de si misma.
601908208156946432***,***😔Mi Unico #Desahogamiento es la #Musica❤ https://t.co/Ii95zpsvbC
601903521265524737***,***Aqui #Relajao con unos de los #Mios Dimelo #Licona #Iscoa😄 https://t.co/z7bw6V0yIS
601851231804469248***,***RT @pu_musicbypu: @IanGaitan01 @M_FOneTT @CooolStufff @7ekayt_e6r @saurabh993132 @_RichardMachado @Kilo_14 Thanks for connecting with http:…
600065735050797056***,***Lunes: No! 😵Martes: Ugh. 😞👎Miercoles: ¿Por que? 😒 Jueves: Omg. 😱👊 Viernes: Al fin. 😁👍 Sabado: PARTY! 😍👌 Domingo: Lloro.😢👎
599798421944401920***,***Hola😄pues aqui reportandome me he perdido😳yo de que me extranan😂Ok no🙈pues agradesxo a esas… https://t.co/7LQe2vVLXJ
599795003158884352***,***Pues no tenia nada que hacer😂que raro😳pues Hise este video😁esta de moda con esta aplicacion… https://t.co/OqiIGPq5XP
598340381747585025***,***😴😇🙏👍#GoodNight #Blessing #People #ILoveYou❤ https://t.co/57pvwpxgig
598310224240447488***,***Ayudame a llegar a los 30,000 seguidores🙊solo falta poquito y llegamos a la cantidad que quiero🙊I❤U my #Folllowers
597464846918090752***,***Levantarme en la manana y que me digan que tu ya no estas😔 no puedo creer eso aun si ayer estuvimos… https://t.co/7hMUHLYYc9
597435643925499904***,***@TigoHn ustedes deberian de hacer un paqete especial para #iPhone y #android ya que casi nadie utiliza blackberry seria bueno lo que le digo
597431243844747264***,***#HappyDayMother😍 https://t.co/N0cWkOnYgr
597422437660262401***,***RT @FarrukoPR: Entren y Voten Ya #PremiosHeatHTV http://t.co/utJW9a8DJ5 http://t.co/AzgOQS6om1
597274106275442689***,***RT @JADIELMUSIC: Poetico - Single por Jadiel "el Incomparable" https://t.co/r9U2iBTobP http://t.co/jQxIG9utWv
597117904270798848***,***Mi hermano💔 @jadielmusic siempre vivo pero nunca muerto😔descansa en paz primo un ano de tu… https://t.co/Jg30K7ApP8
597044428562378752***,***RT @drjuanjr: @_RichardMachado la mayoria de las veces no pero para estar seguro debes de ver a tu medico
596900395928133633***,***@drjuanjr la taticardia es peligrosa? Me puedes explicar de eso #EsperoTuRespuesta
596776124937543681***,***No importa lo que digan de tu. Lucha tienes un sueno por #cumplir llegara ese dia que estaras en la… https://t.co/Euwj86kQIK
596774225714794496***,***Pues el #Pana #DarwinCosculluela estaba bien #distraido😂 Dimelo #Cabron #FotoRecuerdo👍… https://t.co/9ub6rVPGag
594640869443108864***,***#Afternoon #Relaxing #watchingVideo of farrukoofficial  #Bored #Reloj #Ready #smile #music #video… https://t.co/yYLRYFp9Qy
594630271011594241***,***My #LittleSister😍 is a #Dj🙊😳#Isabella🙊🎵 https://t.co/DjmVHtg9qV
594615736586338305***,***Siempre #Apoyando a uno de los mios Dimelo tailopaz👍 #Musica #Apoyo #TalentoKatracho #bro #ready🎵… https://t.co/ebCNpiFhOu
594614045803675649***,***RT @TailoMusic: Have you heard ‘Tailo Paz Ft. Csarec - La Descarada - Mp3’ by TailoPaz on #SoundCloud? #np https://t.co/1YC54zQF59
594612903107547139***,***Uno de mis deseo es que me regales un saludo por video bro @ogblacksugar ud sabe que desde #honduras siempre #apoyamos al #francotirador
593950650557288450***,***@PapoelMaxx1 #DondeEstemosSolo (Lyric Video) | http://t.co/DanXvv8N2t | By @_RichardMachado | #ApoyandoALosMios👍
593875502227660800***,***Uno que no tiene nada que hacer😭#CervezaVirtual😳😭Dimelo #DjPijute👍😭 https://t.co/ER8efe9pIr
593247240514379778***,***No importa las veces que #discutamos gracias a ti por darme tu ejemplo Y hoy Martes 28 De #Abril❤ es… https://t.co/0qCFQIO1US
592386101534404609***,***RT @jcoyuela: Falsa y autentica autoestima - Etica y sociedad http://t.co/5E7zwAN6Hq @Doogdy @qualiummx @padrenestor1945 @_RichardMachado @…
592165509455568896***,***😭😂jajajaja aqui con los #Perros Dimelo #DjPijute #Calvin #Marina😭😭 Topela cabrones👍 https://t.co/hDqtECcuEv
592011018185928704***,***Aqui #Relajao👍 con uno de los mios Dimelo #MarlonAleman siempre #ready en todo👍 #relaxing #photo… https://t.co/Z3h23st4gm
591771171240062976***,***RT @ipautaorg: Nicky Jam #1 en 5 listas de BillboardHistorico logro de compositores de SESAC Latina Simultaneamente el talento... http://…
591771097193795584***,***RT @ipautaorg: J Alvarez alcanza la posicion #1 en Billboard con “La Pelicula” http://t.co/MCTbdIa7SO
591770958626590720***,***RT @ipautaorg: Check: @llandel_malave - #Calentura (Official Video) https://t.co/huj07CxegU via @ipautaorg
591770918357061632***,***RT @ipautaorg: Download @JAlvarezFlow Ft. @GdZOficial Y @MaffioGlobal - #LaTemperaturaRMX http://t.co/hSzAbMbfkX via @ipautaorg
591770572649943040***,***RT @ipautaorg: Daddy Yankee y Nicky Jam brindaran juntos un concierto historico en ParaguayPor primera vez en Paraguay, dos... http://t.c…
591770107778437122***,***RT @ipautaorg: Farruko firmo contrato con Sony Music Latin http://t.co/AwJneld9IO
591769698145939456***,***RT @ipautaorg: #Pronto @joryreal Ft. @JAlvarezFlow - #NoMeCondenes (Prod. By @Janpaul_) via @ipautaorg #MatandoLaLigaTheAlbum http://t.co/1…
591769662284664832***,***RT @ipautaorg: #Pronto @JADIELMUSIC #Poetico | @ElielOfficial @AnaTigerMusic via @ipautaorg http://t.co/DoUntSivVu
591769515987316736***,***RT @ipautaorg: #EsteSabado @KANTIYRIKO Ft. @FarrukoPR - #BonitaBebe (Prod By @SharoTorres Y @Lunytunes_) via @ipautaorg http://t.co/gkAt9aX…
591768929690734594***,***RT @ipautaorg: Farruko se presento con exito por primera vez en Puebla http://t.co/5LaZazUvBM
591768843887910912***,***RT @ipautaorg: Noticias Exclusivas de @Daddy_Yankee , conocelas por aqui ... | http://t.co/biEwF5ZPLg #EntraYa @ipautaorg
591768601364824064***,***RT @ipautaorg: Farruko canta ante 20 mil personas en Mexico http://t.co/Ygd2b4ci23
591332399419564032***,***Con la fe de #Dios🙏Todo se arregla en esta vida es dificil que ustedes haigan pasado ese susto de la… https://t.co/gLWJAex1yY
589947850928300032***,***Detalle de mi parte🙊Para mi #BFF😍🙊#YosselinCroce❤Aqui esta lo que te prometi bebe😍 #LoveU❤BFF https://t.co/2Myg4qzG2C
588115018836738048***,***RT @FarrukoPR: Ya Puedes Pre-Ordenar #ChapiChapi Aqui: http://t.co/CdYnnPkM1T http://t.co/My61irnNlZ
587458993687306240***,***#NathaliaCasco #Texto #Reflexion #Ella #Hodurena #NBL #luchadora #ejemplar #belleza https://t.co/mckHBHNwx4
587457600771358722***,***#Felicidades #Francisca❤La Nueva Reina de Nuestra Belleza Latina👍#FelicidadesRepublicaDominicana😘 https://t.co/6bRvhPO2qt
587445285904867328***,***Que gane la mejor😍 #NBLGranFinal #RepublicaDominicana #Honduras #PuertoRico❤👍😘 https://t.co/ftwwJgfNDO
587444719866744833***,***RT @guelo0316: por aca viendo #NuestraBellezaLatina2015 | http://t.co/rdg9LKtKdJ | ya mismo sale @JAlvarezFlow
587444703005650944***,***RT @JAlvarezFlow: Una noche inolvidable con estas bellezas #NBL univision @nuestrabelleza #comodolegal… https://t.co/C0gWX7dDyf
587423272347787264***,***Apoyando a dos Paises muy importante para mi❤ #Honduras #PuertoRico #NBLNathalia #NBLCatherine… https://t.co/3EuDRQaVcy
587084680056430592***,***#Activo👍 mi gente Se les quiere de gratis😘 https://t.co/9W6g0Q77kv
587053613924618240***,***RT @jcoyuela: La utopia del bote salvavidas - Etica y sociedad http://t.co/EMVCmsCrI5 @_RichardMachado
587017103259074561***,***RT @PromotedAccs: Follow: @_RichardMachado#LoveU♥Sister's | Producer | Songwriter | Musician | Promotore of Music | Follow me #Instagram …
586760346184110080***,***Descansa en Paz #Maestro😔 #AnicetoMolina🙏 un ejemplo en la #musica y un ejemplo a seguir por lo que… https://t.co/B77lQcIFJc
585595179417133056***,***RT @ShawnWHughes: Thanks @TheRandomGay @_RichardMachado @thelagirl for being top new followers in my community this week (insight by http:/…
585595145308995585***,***RT @FreshKevEasy: @_RichardMachado New on iTunes!🔥🔥DOWNLOAD💥💥Global Mogul 3 - EP by Easy the Mogulhttps://t.co/heK8LjnrU4
585595143069270016***,***RT @jcoyuela: El dolor de los inocentes - Etica y sociedad http://t.co/9s7EyWZLpP @_RichardMachado
585370299002032128***,***This week on twitter: 344 new followers, 179 new unfollowers  and followed 562 people via http://t.co/XlhPw6OTO4
584873961281814529***,***Dia de relajamiento mientras tanto enterramos a #Christopher😭 Dimelo #Marlon #Negro https://t.co/aDEJiygf0Z
584759186807992320***,***RT @LipstickFables: @_RichardMachado @CarmenBoquin muchas gracias! 🌴😄
584596533758287872***,***En verdad muchas personas toman la #SemanaSanta como una semana de #diversion😔 y no es asi. La… https://t.co/ORRCziEt5R
584591263946510336***,***Im #TheBigBoss💪 and She #TheBigMama😂 lol She it crazy of love😳😭😭 #friend #crazy #day #bored… https://t.co/vbY0chnJIh
584588914305998848***,***Con la loca de #Sandra😭 https://t.co/RRUXW9tLTn
584586255746347009***,***Hey yo aqui recordandome de ustedes @LipstickFables  @CarmenBoquin que dios me las bendiga siempre 👼 #FelizSemanaSanta #Hermosuras😍🙊
583015852406124546***,***RT @Jorgitoceledon: Paz en su tumba maestro #AnicetoMolina #TigreSabanero ! Embajador de la Cumbia y musica de acordeon ! http://t.co/B7qBL…
582948334404501504***,***RT @Jeyko504Hn: @_RichardMachado saludos pana
582948319753859073***,***@Jeyko504Hn saludos pana como estamos?
581299770909679616***,***#FootballPlayer⚽ #CDOlimpia✅ https://t.co/zNeza3UYTR
581217244429979648***,***Picnic and fun👍 https://t.co/enKVNZL7Kd
581216550272802817***,***😂Con este sol que no nos dejaba hacer nada😭 Dimelo #Michael #Guillen #Licona👍 https://t.co/3PXWPJRtpy
581215719569940481***,***Acabo de publicar una foto https://t.co/HVFvDCZ84H
581215258334883840***,***With You nao_cm15😘 https://t.co/HSAeJ3aWDC
581214442425208832***,***👍 https://t.co/0VAbPalFiZ
580964151549435904***,***La mejor #Barra❤el dolor de muchos😭 UF❤ #CDOlimpia⚽ https://t.co/jgnxjnXzUF
580960575292878848***,***Que lastima que el #RealJuventud haiga perdido contra el #Olimpia pero ustedes dieron lo mejor por… https://t.co/GkK0VxY09q
580948999806435329***,***With You #Coach #HectorVargas👍#TheBestCoach⚽ #CDOlimpia✅ https://t.co/J3ytR4oAwy
580947468411617280***,***With You #RommelQuioto👍#FootballPlayer⚽ #CDOlimpia✅ https://t.co/hQ6X7WPktN
580944630952390656***,***With You #FabioDeSousa👍#FootballPlayer⚽ #CDOlimpia✅ https://t.co/wfKcyy6nDq
580939835768233984***,***With You #MelissaVallecillo😘 https://t.co/FsUadn9oz4
580937312110034944***,***RT @CDOlimpia: ¡Comenzo! Olimpia y Real Juventud se juega en el Argelio Sabillon de Santa Barbara por la copa presidente #LaCopaSeraDeOlimp…
580937299459997696***,***RT @CDOlimpia: Con un cierre muy intenso por constantes ataques por parte de Olimpia termina la primera parte del juego en Sta Barbara con …
580937288617750528***,***RT @CDOlimpia: ¡Que vengan los goles! Inicia la segunda parte en el Argelio Sabillon de Sta Barbara. #LaCopaSeraDeOlimpia
580937270171189248***,***RT @CDOlimpia: Una bandera tricolor que esta en los tendidos populares tiene los escudos de los clubes Olimpia y R. Juventud. Olimpia, la m…
580937249203863552***,***RT @CDOlimpia: ¡Goooooooooooooool! Olimpia abre el marcador mediante Edgard Flores al minuto 55 del tiempo corrido. 1-0.
580937234603499520***,***RT @CDOlimpia: Final del partido, Olimpia gano en el partido de ida 1-0 al Real Juventud de Sta Barbara por la copa presidente. #LaCopaSera…
580937218241523713***,***RT @NacionOlimpista: #NacionOpina ¿Quien consideras que fue el #JugadorNacion esta noche en Santa Barbara?
579775443575783425***,***let's fire🔥🔥 https://t.co/dYGEmPNVzN
579486306042048514***,***RT @jcoyuela: En el dia del padre - Etica y sociedad http://t.co/XhNkGnkpsG @garciafix @_RichardMachado @luizfernandocos @FantasiaFutbol @J…
578588380382011392***,***🙊all ugly but good🙈with #AndyTorres😘She is pretty😍#friend #school #daycolor #cacheton #she… https://t.co/W1sfluygBE
578579277924446208***,***Estos #cabrones son los que me hacen reir a cada minutos😭😭😭😭jajajaja #Topela #Perro #Yomba #Pison… https://t.co/9MyTKQpncO
578564840719020032***,***👪Feliz Dia Del Padre🙏 https://t.co/EXgand6LfJ
