670843527815954432***,***No tengo sueno wnn
666771579263676416***,***@DaniielBulls pensadolo mjr yo tmb podia 🤔🤔
666771393267294209***,***Dejense de llorar ctm
666771211498729472***,***@DaniielBulls lose lose🤔
666770314257408000***,***RT @ehmeeleah: hola me podis dar tu nombre y tu guasap es pa un trabajo
666768601022640129***,***@DaniielBulls JSJSJSJS malditoooo
666768471951298560***,***Rayos 🤔
666768332520103936***,***@DaniielBulls UHHHHHHH jajsjsjsjsjsjsjsj
666768060666261504***,***@DaniielBulls como toda la semana Ajjsjsjsjsjsjsjsj
666767813323935745***,***@DaniielBulls como los lunes?😣🤔
666767434645393408***,***RT @ivana_cid: cuando tg rabia me pongo grosera 🙄🙄🙄🙄🙄 UAJDIWKDKQKWKQ
666767255905148930***,***@DaniielBulls oh si wn 🤔
666767008952881152***,***Suenito en mi ❤
666766815163506689***,***@DaniielBulls en todo caso, todos los dias son una paja🤔
666766337419669506***,***@DaniielBulls jsjsjsjs mmm sera po JAJSJSJ
666766077947453440***,***@DaniielBulls gracias gracias👆🏼 jajajajajajsjjs
666765956513988609***,***Porque la vida es crueeeel
666765597729030144***,***@eileen_atorres  🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻
666765514870562821***,***@DaniielBulls JAJSJSJSJSJS recordatorio de los miercoles
666765213480415236***,***Sgndo tiempo con todo wnn
666764986111406080***,***Buuu yapo
666764942054412289***,***RT @ivana_cid: URUGUAYOS CTM
666764867395854336***,***Jajajjsjsjs que risa
666764658397814785***,***RT @moonsaezn: Metele el deo en la raja
666764107761238017***,***RT @EresInteligente: Sabias que antes de dormir, 91% de tu mente comienza a imaginarse cosas que te gustaria que pasaran.
666764059522555904***,***Me estai webiando
666763469983776768***,***Tan llorones los qls
666763404292530177***,***🇨🇱❤🙏🏻
666763187765821440***,***RT @PedroAndrades: TODOS INVOQUEMOS A ESTE CULIAO https://t.co/8toNmNW7eL
666761713635753984***,***RT @JjSandraa: Ay, esto esta ultra tenso y buenisimo 💁
666761512359448576***,***DALEEEEEEEEEEEE MRD
666761007654637568***,***VARGAAAAAS❤❤😍😍
666760950817628160***,***@DaniielBulls si como todo los miercoles JJajajjsshjsjsjs
666755712647897088***,***@DaniielBulls pense que no me lo recordarias JAJSJ
666755555340480512***,***Tenemos que ganar ctm
666755138724470785***,***@eileen_atorres  dps estudia😘❣
666754981651984384***,***@eileen_atorres supongo que estudiaste 💩
666754808024551424***,***@eileen_atorres  puro que te amo
666754333183184897***,***Que lindo x la chucha
666754142732447744***,***Eileen JAJSJSJSJSJ
666754006908301312***,***RT @valentinafcp: Vamos Chile! 🇨🇱❤
666753901119594497***,***Ojala que quede en el b😈
666444960133197825***,***RT @holavillablanca: no te odio pero ojala andes con diarrea y en la ducha te pongai a estornudar.
666417997389676544***,***Porque soy tan pajera
666417711011012608***,***Ojala dormir tempranito👆🏼
666417267199094784***,***Mg mucho 🎁niar
666416886729568257***,***Yo con netfix soy mas que feliz😳
666416073030418432***,***Quiero puro dormir
666415822701772802***,***@fuckingcrazy74 te amo😢❤
666414810712657921***,***@fuckingcrazy74 Ayudame puuu si no entiendo😢😢😢😢
666413806902448130***,***@fuckingcrazy74  oye nana ayudame mnn en ingles 😔
666413466140459008***,***Estoy cansada a cagar 😔😢
666357194670137345***,***RT @eileen_atorres: Me cae mal la gente doble cara
666201613439234049***,***RT @puchamaite: me muero de suenito😴
666199131225006080***,***RT @sebatierra: Tengo claro con quien si y con quien no
666023075079708672***,***RT @tauro_hn: #TAURO: tienes unos celos asesinos, aunque no los saques siempre y un resentimiento hacia los que intentan ponerte asi...que …
665966919737036801***,***Gatito ql tierno ajajsj
665955840948588544***,***RT @negrrrrrita: Amor eterno a nick jonas 😍😍😍😍
665895756566499328***,***RT @_JavieraV: y lo peor es que yo te conozco tanto, que podria recordarte quien eres por si lo olvidas
665599834792058880***,***RT @epursito: Cuando no podes salir porque tenes que quedarte estudiando. https://t.co/uzJCOaW8U2
665571634925948930***,***RT @PedritoEngel: #Tauro No se andan con pequeneces, le gustan las cosas grandes y todo el mundo lo sabe. Que no se le note tanto en la car…
665571331942035456***,***RT @holavillablanca: siempre que veo querido johnn termino con un tsunami en los ojos.
665541009951076352***,***RT @holavillablanca: asi me siento cuando me llega la regla. https://t.co/jJxVHUA8bB
665522456912875520***,***RT @FIL0S0FIA: Una persona que cae y se levanta es mas fuerte que la que nunca se ha caido.
665363787457929216***,***😣😣😣😣
665229769584353283***,***RT @tauro_hn: A pesar de que veas muy enfadado a #TAURO, hacen esfuerzos para olvidar las discusiones, aunque no siempre lo logran
665117378871754752***,***Tengo tanto sueno por la chucha
665117212567576576***,***Ando dms pajeraa
664959195293327361***,***Maldita foto
664754675380547584***,***RT @JavieraSR15: ano de mierda termina luego😖
664560618284929025***,***RT @vitoko_carrasco: Cuando me extranes quizas ya no este para ti😋
664544628167831552***,***RT @eileen_atorres: Mi insta es privado no porque me crea la gran huea, sino que me carga que la gente ql que me cae mal vea mis hueas👌🏻
664428206783598592***,***Soy siempre la primera en comprarle ciruelas verdes a la anto Ajajsjsj
664383007059484672***,***RT @_JavieraV: mientras menos gente sepa mas duran las cosas
664382913090310148***,***RT @eileen_atorres: Si las minas somos peor que pdi pero este programa la cagooooo
664205593595535365***,***RT @_frantorress: Me carga sentirme mal de la nada🙂
664205520207790080***,***Ohhhh ctm que hace calor
664038507619459072***,***RT @NachoCarpOk: Odio levantarme temprano
663914105212968960***,***Ya tio pedrito algun dia dejare de comer porquerias
663909700816211968***,***Seraaaaa JAJSJSJSJ https://t.co/YH7AeCEERg
663902906438057984***,***RT @fer15_rodriguez: Con las chiquillas queremos que sea viernes y no pregunten para que
663901597706149888***,***Que pase luego esta semana qla
663894822999171072***,***RT @franisidoraaa: Si a ti no te importa a mi me importa menos😊
663893880711061504***,***@fer15_rodriguezCALMATE QLAAA que tengo que llamar a 100 wnes
663893789577248768***,***@DaniielBulls JAJSJSJS  miercoles ahora
663893667015491588***,***@franisidoraaa 😘😘😘😘😘
663893549516214272***,***Y que se te suba los humitos
663893464413810688***,***Que se vaya a la santa chucha yo no tengo PQ hacerme cargo de weas tuyas
663890103996170240***,***El daniel me recordara siempre los dias miercoles Ajajsjsjsjs
663890011050389504***,***@DaniielBulls AJJSJSJSJSJDJD OYE YA SISKSJSKSJSJ
663889954255319041***,***Bta me carga mama llega luego
663889674616852480***,***Bta la wea ahora tenemos que llamar a todos los que trabajan en la wea esta
663877541674000389***,***Amo a mis perrinesss
663862567656398849***,***@eileen_atorres  xoxoxo💋
663862269621739520***,***@eileen_atorres  ay mozza si lo digo yo es porque es vdd 😘
663861952196820992***,***@eileen_atorres regia estupenda
663856250267041792***,***Me duele la weaaa
663848718890901504***,***RT @eileen_atorres: Quiero sushi🍣🍱🍙 :(
663802871637549056***,***RT @UnaFrasecita: http://t.co/fUZQFZgttF
663780784843681793***,***Xao
663780735501864960***,***Oh que lindo lo que comproo! la ami
663778852058042368***,***RT @tauro_hn: #TAURO es leal a los amigos, pero hay que tener cuidado porque igual que ama es capaz de odiar, no permite la traicion
663777694518218752***,***Con la eileen estabamos muy felices jaajsjjssjjs😍
663776532503126016***,***Quiero hablar por facetime con mi mama😔😔😔
663754811360309248***,***Humbertito siempre me alimenta 💋
663754727654629376***,***Bta tengobhambre
663730223192633345***,***Amo las cocadas de la clau no te vayas😢😢
663722831688151040***,***RT @ivana_cid: lo extrano mucho 😔
663718512133857281***,***Buuu contestame
663710620991283200***,***Creo que mi mama fue la mjr en explicarme quimica
663682003594776576***,***Para la prox prueba la fernanda si o si me ensena
663676938695925760***,***Salva ctmm
663676163764670464***,***Ctm entregaran las pruebas me ire a la b😢
663539728801771520***,***RT @eileen_atorres: Me gustan los ojos de colores pero los cafes son mas lindos😍
663533103898607616***,***@fernandavilesss te extrano negrita😿❤
663532929176502272***,***Dormire temprano👆🏼😴
663510464836542469***,***Ay me encantaron los zapatos 😍🤐
663506376199643136***,***Con mi mama hablamos por facetime JAJSK que llege luego porfa
663498903740895232***,***Mnn 💆💇💅🏼
663495589204770816***,***Ojala no llueva mnn😢
663494450526732288***,***La dani me hablo para decirme que queria ver los capitulos mnn JAJSJSJSJ
663490914254520320***,***Perfect😳
663490269594198017***,***@fer15_rodriguez todo sirve😘🤔
663490111582138368***,***@fer15_rodriguez  jsjsjsjdjd si wnn
663487577324920840***,***Me encanto esa cancionnn💋
663487458441617408***,***RT @eileen_atorres: Ven dimelo a la cara y no mientas, dejemos de jugar🙋🏼
663485597445656578***,***BUUUUU la fernanda skskskdk
663484525079633921***,***@eileen_atorres  deja de molestame JAJSJSJSJSJ
663484188377661440***,***Quiero leche con platano😍
663483904213557248***,***De pana banana
663483409398910976***,***Lluvia qla no traje mi casaca
663483205539012609***,***Fernanda en mision imposible
663483124098158592***,***@fer15_rodriguez hace la mision
663482159475347457***,***Si hubiera estado la plantita hubiera desaparecido
663480137883770882***,***Tengo que leer y tengo tanta paja
663477394049794048***,***RT @BruunooLoopeez: #EnMisVacacionesQuiero No saber nada de la escuela.
663236720381554689***,***Buu no puedo dormir😔
663229885511528448***,***RT @maririverosb: No importa que diga el destino, quedate conmigo
663196699872116736***,***RT @hernanndezg: cuando uno carretea y tiene cana moral es lo peor, como que queri restarle piscolas a tu vida
663194285425238016***,***RT @jaavicruces: la que come callada, come dos veces.
663178061123297280***,***🤐🤐
663174056783568897***,***Soy como garfield, duermo y como JAJSJSJ
663162002341236736***,***RT @damnbxtch_: La verdad que ya me da igual todo
663116555526529024***,***Quiero chanchear 🤐
663115903681327105***,***RT @ifyouloveddme: Me gusta la risa de tonto que tiene 💞
663114773081493504***,***Ayiahhhhh
663085819511590912***,***RT @negrrrrrita: Quiero retroceder el tiempo brigidamente 😭😭😭😭
663063602925084672***,***RT @PedritoEngel: #Tauro no lleve mas peso del que puede llevar. Quedese abajo si es q se cansa arriba 😏💙
663062693834792960***,***Tengo sueno jajwje
663062600679358464***,***RT @eileen_atorres: El frio dan ganas de 🎁near
663062473445146624***,***RT @tauro_hn: Es facil enamorarse de #TAURO, lo dificil es que ellos dejen ver lo que sienten por ti
663061961387745280***,***RT @cooonim: ojala algun dia poder decir todo
663050086218383360***,***Es hora deeeeee leer el libro Ajsjdj
663049946422226944***,***@fer15_rodriguez 😳😳😳😏
663049788481474561***,***Mira la wea bacansita
663049337858060288***,***Se fue recien mi mama y quiero que llegue luego Ajsjjs
663042026221473792***,***RT @YolandaSultanaH: #TAURO -Esmeralda.Tiene el poder de aumentar la creatividad y percepcion.Tranquilizante y ayuda a resolver problemas h…
663015543704829956***,***RT @eileen_atorres: El que no arriesga, nunca gana😏
662840794458533889***,***Mucho sueno en mi ❤
662840616628416512***,***Estoy ni ahi con lo que hagas estoy ni ahi contigo BAI😘
662839644967583744***,***@eileen_atorres  lindaaa de nada nanita👯💋
662839406886301696***,***@eileen_atorres  te amo muxoooooo mi fotografa😘
662839227433033728***,***@eileen_atorres  "espera, el arito de perla" JAJSJSJ😚
662809956803067905***,***Para ti voy a estar😏
662798867868590080***,***Bu mi mama que se demora
662781907147620353***,***RT @Drogadosoy: —Estoy bien llena, ya no quiero mas comida.—¿Y si pedimos pizza?— https://t.co/atnHHeNVl5
662781851044593664***,***🤐🤐🤐🤐
662683990147670016***,***Ctmm que risa ajjsjsjs
662676370011660289***,***Extranaba tanto a la eileen que no deje de darle abrazos JAJSJS ❤😍
662570606911733761***,***RT @SofiaVegaContre: juro que le hablaria pero NOOO ☹🙁
662457835675115523***,***RT @ivana_cid: te jurai barbie tonta qla bajate los humitos 😂
662371764463357952***,***RT @lez4rd: Calor hijoelaperrs
662309268654301184***,***Nos sacamos muchas fotos chistosas
662260127412670464***,***Maldita karen jdksjsjsjd
662113183432359936***,***Es hora de su durma
662090841339658240***,***@DaniielBulls mmmmm mjr 🤔
662090011274321920***,***@DaniielBulls seeeeeeeee
662089669102993408***,***@DaniielBulls mjr que llegue el fds luego
662089523065708545***,***Lo que nunca falta en mi mochila es la comida Jajsjsj
662089201626816512***,***@DaniielBulls eso si sjsjjsjsjd
